Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.999997,-90.01,0.999985,-90.01,0.999952,-90.01,0.999835,-90.01,0.999502,-90.01,0.998336,-90.01,0.995023,-90.01,0.983595,-90.01,0.952345,-90.01,0.857031,-90.01,0.666404,-90.01,0.374506,-90.01,0.166008,-90.01,0.0558577,-90.01,0.0188324,-90.01,0.00517796,-90.01,0.00120661
-88.01,0.999989,-88.01,0.999986,-88.01,0.999974,-88.01,0.999941,-88.01,0.999824,-88.01,0.999491,-88.01,0.998325,-88.01,0.995012,-88.01,0.983584,-88.01,0.952334,-88.01,0.857022,-88.01,0.666397,-88.01,0.374502,-88.01,0.166006,-88.01,0.055857,-88.01,0.0188322,-88.01,0.0051779,-88.01,0.00120659
-86.01,0.999974,-86.01,0.999971,-86.01,0.999959,-86.01,0.999926,-86.01,0.999809,-86.01,0.999476,-86.01,0.998311,-86.01,0.994997,-86.01,0.98357,-86.01,0.95232,-86.01,0.857009,-86.01,0.666387,-86.01,0.374497,-86.01,0.166004,-86.01,0.0558562,-86.01,0.0188319,-86.01,0.00517782,-86.01,0.00120657
-84.01,0.999954,-84.01,0.999951,-84.01,0.999939,-84.01,0.999906,-84.01,0.999789,-84.01,0.999456,-84.01,0.998291,-84.01,0.994977,-84.01,0.98355,-84.01,0.952301,-84.01,0.856992,-84.01,0.666374,-84.01,0.374489,-84.01,0.166,-84.01,0.0558551,-84.01,0.0188315,-84.01,0.00517772,-84.01,0.00120655
-82.01,0.999928,-82.01,0.999924,-82.01,0.999913,-82.01,0.999879,-82.01,0.999763,-82.01,0.999429,-82.01,0.998264,-82.01,0.994951,-82.01,0.983524,-82.01,0.952276,-82.01,0.856969,-82.01,0.666356,-82.01,0.374479,-82.01,0.165996,-82.01,0.0558536,-82.01,0.018831,-82.01,0.00517758,-82.01,0.00120652
-80.01,0.999892,-80.01,0.999889,-80.01,0.999877,-80.01,0.999844,-80.01,0.999727,-80.01,0.999394,-80.01,0.998229,-80.01,0.994915,-80.01,0.983489,-80.01,0.952242,-80.01,0.856939,-80.01,0.666332,-80.01,0.374466,-80.01,0.16599,-80.01,0.0558516,-80.01,0.0188304,-80.01,0.0051774,-80.01,0.00120648
-78.01,0.999844,-78.01,0.999841,-78.01,0.999829,-78.01,0.999796,-78.01,0.999679,-78.01,0.999346,-78.01,0.998181,-78.01,0.994868,-78.01,0.983442,-78.01,0.952197,-78.01,0.856898,-78.01,0.6663,-78.01,0.374448,-78.01,0.165982,-78.01,0.055849,-78.01,0.0188295,-78.01,0.00517715,-78.01,0.00120642
-76.01,0.99978,-76.01,0.999777,-76.01,0.999765,-76.01,0.999732,-76.01,0.999615,-76.01,0.999282,-76.01,0.998117,-76.01,0.994804,-76.01,0.983379,-76.01,0.952135,-76.01,0.856843,-76.01,0.666258,-76.01,0.374424,-76.01,0.165971,-76.01,0.0558454,-76.01,0.0188283,-76.01,0.00517682,-76.01,0.00120634
-74.01,0.999694,-74.01,0.99969,-74.01,0.999679,-74.01,0.999645,-74.01,0.999529,-74.01,0.999195,-74.01,0.998031,-74.01,0.994718,-74.01,0.983294,-74.01,0.952053,-74.01,0.856769,-74.01,0.6662,-74.01,0.374392,-74.01,0.165957,-74.01,0.0558406,-74.01,0.0188266,-74.01,0.00517637,-74.01,0.00120624
-72.01,0.999578,-72.01,0.999575,-72.01,0.999563,-72.01,0.99953,-72.01,0.999413,-72.01,0.99908,-72.01,0.997915,-72.01,0.994603,-72.01,0.98318,-72.01,0.951943,-72.01,0.85667,-72.01,0.666123,-72.01,0.374348,-72.01,0.165938,-72.01,0.0558341,-72.01,0.0188245,-72.01,0.00517577,-72.01,0.0012061
