Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1
-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997,-88.01,0.999997
-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993,-86.01,0.999993
-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987,-84.01,0.999987
-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978,-82.01,0.999978
-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965,-80.01,0.999965
-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945,-78.01,0.999945
-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915,-76.01,0.999915
-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987,-74.01,0.99987
-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804,-72.01,0.999804
