Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.961806,-90.01,0.961806,-90.01,0.961806,-90.01,0.961807,-90.01,0.961807,-90.01,0.961808,-90.01,0.96181,-90.01,0.961818,-90.01,0.961845,-90.01,0.961921,-90.01,0.962185,-90.01,0.962919,-90.01,0.965288,-90.01,0.970686,-90.01,0.981224,-90.01,0.991184,-90.01,0.997612,-90.01,1
-88.01,0.961803,-88.01,0.961803,-88.01,0.961803,-88.01,0.961803,-88.01,0.961803,-88.01,0.961804,-88.01,0.961807,-88.01,0.961814,-88.01,0.961841,-88.01,0.961917,-88.01,0.962181,-88.01,0.962916,-88.01,0.965284,-88.01,0.970683,-88.01,0.98122,-88.01,0.991181,-88.01,0.997609,-88.01,0.999996
-86.01,0.961798,-86.01,0.961798,-86.01,0.961798,-86.01,0.961798,-86.01,0.961798,-86.01,0.961799,-86.01,0.961802,-86.01,0.961809,-86.01,0.961836,-86.01,0.961912,-86.01,0.962176,-86.01,0.962911,-86.01,0.965279,-86.01,0.970678,-86.01,0.981215,-86.01,0.991176,-86.01,0.997604,-86.01,0.999991
-84.01,0.961791,-84.01,0.961791,-84.01,0.961791,-84.01,0.961791,-84.01,0.961791,-84.01,0.961792,-84.01,0.961795,-84.01,0.961802,-84.01,0.961829,-84.01,0.961905,-84.01,0.962169,-84.01,0.962904,-84.01,0.965272,-84.01,0.97067,-84.01,0.981208,-84.01,0.991168,-84.01,0.997596,-84.01,0.999984
-82.01,0.96178,-82.01,0.96178,-82.01,0.96178,-82.01,0.961781,-82.01,0.961781,-82.01,0.961782,-82.01,0.961784,-82.01,0.961792,-82.01,0.961819,-82.01,0.961895,-82.01,0.962159,-82.01,0.962893,-82.01,0.965262,-82.01,0.97066,-82.01,0.981197,-82.01,0.991157,-82.01,0.997585,-82.01,0.999973
-80.01,0.961765,-80.01,0.961765,-80.01,0.961765,-80.01,0.961765,-80.01,0.961766,-80.01,0.961766,-80.01,0.961769,-80.01,0.961777,-80.01,0.961803,-80.01,0.96188,-80.01,0.962143,-80.01,0.962878,-80.01,0.965246,-80.01,0.970645,-80.01,0.981182,-80.01,0.991142,-80.01,0.99757,-80.01,0.999957
-78.01,0.961743,-78.01,0.961743,-78.01,0.961743,-78.01,0.961744,-78.01,0.961744,-78.01,0.961745,-78.01,0.961747,-78.01,0.961755,-78.01,0.961782,-78.01,0.961858,-78.01,0.962122,-78.01,0.962856,-78.01,0.965224,-78.01,0.970622,-78.01,0.981159,-78.01,0.991119,-78.01,0.997547,-78.01,0.999934
-76.01,0.961712,-76.01,0.961712,-76.01,0.961712,-76.01,0.961712,-76.01,0.961712,-76.01,0.961713,-76.01,0.961716,-76.01,0.961723,-76.01,0.96175,-76.01,0.961826,-76.01,0.96209,-76.01,0.962825,-76.01,0.965193,-76.01,0.970591,-76.01,0.981127,-76.01,0.991087,-76.01,0.997514,-76.01,0.999901
-74.01,0.961666,-74.01,0.961666,-74.01,0.961666,-74.01,0.961666,-74.01,0.961666,-74.01,0.961667,-74.01,0.96167,-74.01,0.961677,-74.01,0.961704,-74.01,0.96178,-74.01,0.962044,-74.01,0.962779,-74.01,0.965147,-74.01,0.970544,-74.01,0.98108,-74.01,0.991039,-74.01,0.997466,-74.01,0.999854
-72.01,0.9616,-72.01,0.9616,-72.01,0.9616,-72.01,0.9616,-72.01,0.9616,-72.01,0.961601,-72.01,0.961603,-72.01,0.961611,-72.01,0.961638,-72.01,0.961714,-72.01,0.961978,-72.01,0.962712,-72.01,0.96508,-72.01,0.970477,-72.01,0.981012,-72.01,0.990971,-72.01,0.997398,-72.01,0.999785
