environment | time (msec),interface | I_Ca | I_Catot (uA_per_uF),interface | membrane_potential | V_m (mV)
0,-0.000251445,-81.423
0.1,-0.000251445,-81.423
0.2,-0.000251445,-81.423
0.3,-0.000251445,-81.423
0.4,-0.000251445,-81.423
0.5,-0.000251445,-81.423
0.6,-0.000251444,-81.423
0.7,-0.000251444,-81.423
0.8,-0.000251444,-81.423
0.9,-0.000251444,-81.423
1,-0.000251444,-81.423
1.1,-0.000251444,-81.423
1.2,-0.000251443,-81.423
1.3,-0.000251443,-81.423
1.4,-0.000251443,-81.423
1.5,-0.000251443,-81.4231
1.6,-0.000251443,-81.4231
1.7,-0.000251443,-81.4231
1.8,-0.000251443,-81.4231
1.9,-0.000251442,-81.4231
2,-0.000251442,-81.4231
2.1,-0.000251442,-81.4231
2.2,-0.000251442,-81.4231
2.3,-0.000251442,-81.4231
2.4,-0.000251442,-81.4231
2.5,-0.000251441,-81.4231
2.6,-0.000251441,-81.4231
2.7,-0.000251441,-81.4231
2.8,-0.000251441,-81.4231
2.9,-0.000251441,-81.4231
3,-0.000251441,-81.4231
3.1,-0.000251441,-81.4231
3.2,-0.00025144,-81.4231
3.3,-0.00025144,-81.4231
3.4,-0.00025144,-81.4232
3.5,-0.00025144,-81.4232
3.6,-0.00025144,-81.4232
3.7,-0.00025144,-81.4232
3.8,-0.000251439,-81.4232
3.9,-0.000251439,-81.4232
4,-0.000251439,-81.4232
4.1,-0.000251439,-81.4232
4.2,-0.000251439,-81.4232
4.3,-0.000251439,-81.4232
4.4,-0.000251439,-81.4232
4.5,-0.000251438,-81.4232
4.6,-0.000251438,-81.4232
4.7,-0.000251438,-81.4232
4.8,-0.000251438,-81.4232
4.9,-0.000251438,-81.4232
5,-0.000251438,-81.4232
5.1,-0.000251438,-81.4232
5.2,-0.000251437,-81.4232
5.3,-0.000251437,-81.4233
5.4,-0.000251437,-81.4233
5.5,-0.000251437,-81.4233
5.6,-0.000251437,-81.4233
5.7,-0.000251437,-81.4233
5.8,-0.000251436,-81.4233
5.9,-0.000251436,-81.4233
6,-0.000251436,-81.4233
6.1,-0.000251436,-81.4233
6.2,-0.000251436,-81.4233
6.3,-0.000251436,-81.4233
6.4,-0.000251436,-81.4233
6.5,-0.000251435,-81.4233
6.6,-0.000251435,-81.4233
