Time (ms)_demir,Demir 1994,Time (ms)_kurata,Kurata 2002,Time (ms)_zhang,Zhang 2000,Time (ms)_liu,Liu 1993 (ICaL),Time (ms)_difrancesco,2020_DiFrancesco_1985,Time (ms)_iyer,2020_Iyer 2004,Time (ms)_wilders,Wilders 1991 (ICaL),Time (ms)_fox,Fox 2002,Time (ms)_michailova,Michailova 2005
-10,-133.48,-10,-132.08,-10,-133.48,-10,-1.18E-06,-10,-4654.48,-10,-859.436,-10,-4652.36,-10,-859.533,-10,-856.574
0,-133.48,0,-132.08,0,-133.48,0,-1.18E-06,0,-4654.5,0,-859.441,0,-4652.38,0,-859.538,0,-856.579
0.1,-132.595,0.1,-131.195,0.1,-132.595,3.2,-0.00450675,0.1,-4623.61,0.1,-850.77,0.1,-4621.51,0.1,-850.861,0.1,-847.872
0.2,-131.709,0.2,-130.309,0.2,-131.709,3.3,-0.0503761,0.2,-4592.71,0.2,-842.102,0.2,-4590.62,0.2,-842.189,0.2,-839.167
0.3,-130.823,0.3,-129.423,0.3,-130.823,3.4,-0.206754,0.3,-4561.8,0.3,-833.438,0.3,-4559.72,0.3,-833.519,0.3,-830.466
0.4,-129.938,0.4,-128.538,0.4,-129.938,3.5,-0.4954,0.4,-4530.86,0.4,-824.778,0.4,-4528.8,0.4,-824.854,0.4,-821.767
0.5,-129.052,0.5,-127.652,0.5,-129.052,3.6,-0.902263,0.5,-4499.91,0.5,-816.122,0.5,-4497.86,0.5,-816.192,0.5,-813.072
0.6,-128.167,0.6,-126.767,0.6,-128.167,3.7,-1.24814,0.6,-4468.94,0.6,-807.471,0.6,-4466.9,0.6,-807.535,0.6,-804.381
0.7,-127.281,0.7,-125.881,0.7,-127.281,3.8,-0.808739,0.7,-4437.95,0.7,-798.824,0.7,-4435.93,0.7,-798.882,0.7,-795.694
0.8,-126.395,0.8,-124.995,0.8,-126.395,3.9,2.293,0.8,-4406.95,0.8,-790.182,0.8,-4404.93,0.8,-790.233,0.8,-787.011
0.9,-125.51,0.9,-124.11,0.9,-125.51,4,12.2752,0.9,-4375.92,0.9,-781.545,0.9,-4373.92,0.9,-781.59,0.9,-778.332
1,-124.624,1,-123.224,1,-124.624,4.1,14.7593,1,-4344.87,1,-772.913,1,-4342.88,1,-772.951,1,-769.657
1.1,-123.8,1.1,-122.4,1.1,-123.8,4.2,16.6416,1.1,-4315.96,1.1,-764.886,1.1,-4313.98,1.1,-764.917,1.1,-761.589
1.2,-122.976,1.2,-121.576,1.2,-122.976,4.3,18.0537,1.2,-4287.03,1.2,-756.863,1.2,-4285.07,1.2,-756.888,1.2,-753.526
1.3,-122.152,1.3,-120.752,1.3,-122.152,4.4,19.0987,1.3,-4258.08,1.3,-748.846,1.3,-4256.13,1.3,-748.864,1.3,-745.467
1.4,-121.328,1.4,-119.928,1.4,-121.328,4.5,19.857,1.4,-4229.11,1.4,-740.835,1.4,-4227.18,1.4,-740.845,1.4,-737.413
1.5,-120.504,1.5,-119.104,1.5,-120.504,4.6,20.3916,1.5,-4200.13,1.5,-732.83,1.5,-4198.2,1.5,-732.832,1.5,-729.365
1.6,-119.679,1.6,-118.279,1.6,-119.679,4.7,20.7519,1.6,-4171.12,1.6,-724.831,1.6,-4169.21,1.6,-724.825,1.6,-721.322
1.7,-118.855,1.7,-117.455,1.7,-118.855,4.8,20.9764,1.7,-4142.1,1.7,-716.839,1.7,-4140.2,1.7,-716.824,1.7,-713.286
1.8,-118.031,1.8,-116.631,1.8,-118.031,4.9,21.0953,1.8,-4113.05,1.8,-708.853,1.8,-4111.17,1.8,-708.83,1.8,-705.255
1.9,-117.207,1.9,-115.807,1.9,-117.207,5,21.1323,1.9,-4083.99,1.9,-700.875,1.9,-4082.11,1.9,-700.843,1.9,-697.231
2,-116.383,2,-114.983,2,-116.383,5.1,18.9991,2,-4054.9,2,-692.905,2,-4053.04,2,-692.863,2,-689.214
2.1,-115.441,2.1,-114.041,2.1,-115.441,5.2,16.9702,2.1,-4021.63,2.1,-683.805,2.1,-4019.78,2.1,-683.751,2.1,-680.06
2.2,-114.499,2.2,-113.099,2.2,-114.499,5.3,15.058,2.2,-3988.33,2.2,-674.715,2.2,-3986.5,2.2,-674.65,2.2,-670.916
2.3,-113.557,2.3,-112.157,2.3,-113.557,5.4,13.2674,2.3,-3955,2.3,-665.638,2.3,-3953.18,2.3,-665.56,2.3,-661.783
2.4,-112.615,2.4,-111.215,2.4,-112.615,5.5,11.5989,2.4,-3921.64,2.4,-656.572,2.4,-3919.84,2.4,-656.482,2.4,-652.662
2.5,-111.673,2.5,-110.273,2.5,-111.673,5.6,10.0498,2.5,-3888.26,2.5,-647.519,2.5,-3886.47,2.5,-647.415,2.5,-643.552
