Time (millisecond)_aslanidi_atrial,2020_Aslanidi_2009_atrial,Time (millisecond)_aslanidi_purkinje,2020_Aslanidi_2009_purkinje,Time (millisecond)_beeler,2020_Beeler_1977,Time (millisecond)_bondarenko,2020_Bondarenko_2004,Time (millisecond)_courtemanche,2020_Courtemanche_1998,Time (millisecond)_decker,2020_Decker_2009,Time (millisecond)_difrancesco,2020_DiFrancesco_1985,Time (millisecond)_grandi_2010,2020_Grandi_2010,Time (millisecond)_hund2004,2020_Hund_2004,Time (millisecond)_iyer,2020_Iyer 2004,Time (millisecond)_li2010,2020_Li_2010,Time (millisecond)_livshitz,2020_Livshitz_2007,Time (millisecond)_luo,2020_Luo_1994,Time (millisecond)_mahajan,2020_Mahajan_2008,Time (millisecond)_matsuoka,2020_Matsuoka_2003,Time (millisecond)_noble_1991,2020_Noble_1991,Time (millisecond)_noble_1998,2020_Noble_1998,Time (millisecond)_ohara,2020_ohara_2011,Time (millisecond)_priebe,2020_Priebe_1998,Time (millisecond)_shannon,2020_Shannon_2004,Time (millisecond)_tt2004,2020_ten_Tusscher_2004,Time (millisecond)_tt2006,2020_ten_Tusscher_2006,Time (millisecond)_tomek_2019,2020_Tomek_2019,Time (millisecond)_winslow1999,2020_Winslow_1999,Time (millisecond)_bartolucci,Bartolucci 2020 (epi),Time (millisecond)_cabo,Cabo 2003 (Non-infarcted) (ICaL),Time (millisecond)_corrias,Corrias 2011,Time (millisecond)_cortassa,Cortassa 2006 (ICaL),Time (millisecond)_demir,Demir 1994,Time (millisecond)_dokos,Dokos 1996,Time (millisecond)_faber,Faber 2007 (ICaL),Time (millisecond)_fink,Fink_2008,Time (millisecond)_fox,Fox 2002,Time (millisecond)_grandi_2011,Grandi 2011,Time (millisecond)_heijman2011,Heijman 2011,Time (millisecond)_hilgemann,Hilgemann 1987,Time (millisecond)_hund2008,Hund 2008 (NZ)(ICaL),Time (millisecond)_inada,Inada 2009 (atrio-nodal),Time (millisecond)_jafri,Jafri 1998,Time (millisecond)_kernik,Kernik 2019 (ICaL),Time (millisecond)_koivumaki,Koivumaki 2011,Time (millisecond)_kurata,Kurata 2002,Time (millisecond)_li2011,Li 2011 (ICaL),Time (millisecond)_lindblad,Lindblad 1996,Time (millisecond)_liu1993,Liu 1993 (ICaL),Time (millisecond)_lovell,Lovell 2004 (ICaL),Time (millisecond)_mcallister,McAllister 1975 (Model B),Time (millisecond)_michailova,Michailova 2005,Time (millisecond)_nordin,Nordin 1993 (ICaL),Time (millisecond)_nygren,Nygren 1998,Time (millisecond)_paci2013,Paci 2013 (atrial-like),Time (millisecond)_pandit2001,Pandit 2001 (epi),Time (millisecond)_pasek,Pasek 2006,Time (millisecond)_ramirez,Ramirez 2000,Time (millisecond)_sato,Sato 2006 (ICaL),Time (millisecond)_trovato,Trovato 2020,Time (millisecond)_varela,Varela 2016 (right atrium),Time (millisecond)_wilders,Wilders 1991 (ICaL),Time (millisecond)_zeng,Zeng 1995 (ICaL),Time (millisecond)_zhang,Zhang 2000
-10,-3.31E-06,-10,-3.15E-06,-10,-0.000015961,-10,-4.74E-21,-10,-1.23E-06,-10,-2.17E-05,-10,-1.95E-08,-10,-3.34E-07,-10,-1.32E-06,-10,-1.49E-10,-10,-4.79E-06,-10,-1.93E-12,-10,-7.52E-07,-10,-6.85E-06,-10,-3.43E-07,-10,-5.53E-09,-10,-3.47E-09,-10,-7.04E-10,-10,-2.71E-11,-10,-1.51E-06,-10,-2.66E-06,-10,-2.78E-06,-10,0,-10,-1.39E-23,-10,-9.74E-10,-10,-1.29E-08,-10,-6.35E-08,-10,-2.38E-23,-10,-2.60E-07,-10,-6.98E-07,-10,-3.64E-08,-10,-1.91E-06,-10,-1.46E-06,-10,-6.64E-07,-10,-1.57E-10,-10,-4.31E-08,-10,-8.28E-07,-10,-2.30E-07,-10,-3.58E-20,-10,-1.48E-05,-10,-2.19E-06,-10,-8.87E-07,-10,-1.55E-05,-10,-2.04E-06,-10,-2.09E-08,-10,-0.000443886,-10,-1.71E-05,-10,-2.47E-23,-10,-6.20E-12,-10,-9.12E-14,-10,-1.51E-06,-10,-2.59E-14,-10,-2.05E-07,-10,-1.26E-07,-10,-7.44E-07,-10,-2.52E-09,-10,-2.30E-09,-10,-1.11E-06,-10,-7.65E-07,-10,-1.42E-06
0,-3.31E-06,0,-3.15E-06,0,-1.60E-05,0,-4.74E-21,2.6,-1.14E-05,0.1,-2.16E-05,0,-1.95E-08,0,-3.34E-07,0,-1.32E-06,0,-1.49E-10,-8.3,-4.79E-06,0,-1.93E-12,-8.8,-7.52E-07,0.3,-6.72E-06,0,-3.43E-07,0,-5.53E-09,0,-3.47E-09,0,-7.04E-10,3.3,-3.02E-06,0,-1.51E-06,0,-2.66E-06,0,-2.78E-06,3.3,-3.19E-08,0,-1.39E-23,0,-9.74E-10,-8.4,-1.29E-08,-8.3,-6.35E-08,0,-2.38E-23,0,-2.60E-07,-3,-6.98E-07,0,-3.64E-08,0,-1.91E-06,0.1,-1.45E-06,0,-6.63E-07,0,-1.57E-10,-8.3,-4.31E-08,-8.8,-8.28E-07,0,-2.30E-07,0,-3.58E-20,-8.5,-1.48E-05,0,-2.19E-06,-8.8,-8.87E-07,0,-1.55E-05,0,-2.04E-06,0,-2.09E-08,0,-0.000443887,0,-1.71E-05,0,-2.47E-23,-9,-6.20E-12,0,-9.12E-14,0,-1.51E-06,0,-2.59E-14,0,-2.05E-07,3.2,-1.89E-05,0.3,-7.32E-07,0,-2.52E-09,3.3,-6.78E-06,0.1,-1.11E-06,-4,-7.65E-07,0.1,-1.42E-06
2.5,-1.69E-05,3.1,-0.000080765,0.4,-1.58E-05,3.6,-2.29E-06,3.1,-2.12E-05,2.3,-8.69E-05,3.2,-2.30E-05,3.1,-1.49E-05,3.1,-0.000033985,3.4,-2.61E-05,0,-4.79E-06,3.1,-1.91E-05,-0.3,-7.52E-07,2.9,-3.88E-05,3.1,-1.90E-05,3.2,-1.90E-05,3.1,-1.81E-06,3.3,-1.25E-05,3.4,-1.96E-05,2.5,-2.36E-05,2.3,-1.86E-05,2.2,-1.83E-05,3.4,-2.02E-05,3.7,-1.92E-06,3.3,-1.73E-05,-7.9,-1.29E-08,-7.4,-6.35E-08,3.7,-3.3042E-06,3.1,-1.52E-05,-2.6,-6.98E-07,3.3,-2.01E-05,3.1,-3.37E-05,3.2,-1.21E-05,3,-2.12E-05,3.2,-6.62E-06,0,-4.31E-08,0,-8.28E-07,3.2,-9.46E-06,3.6,-5.03E-06,0.2,-1.46E-05,3.2,-9.26E-05,-2.2,-8.87E-07,2.5,-0.000114403,3,-1.54E-05,3.2,-8.00E-05,0.8,-0.000436694,0.8,-2.60E-05,3.7,-4.84653E-05,0,-6.20E-12,3.5,-3.64E-06,2.6,-0.000017297,3.4,-1.69E-05,3,-1.96608E-05,3.3,-6.58E-05,3.2,-1.16E-05,3.2,-5.24E-06,3.4,-3.44E-05,3.1,-1.66E-05,-2.7,-7.65E-07,3,-1.98E-05
3,-2.44E-05,3.2,-0.000189636,2.5,-2.01E-05,3.7,-8.77E-05,3.2,-3.76E-05,2.9,-0.000141491,3.3,-0.000158907,3.2,-3.81E-05,3.2,-7.99E-05,3.5,-7.45E-05,3.1,-0.000119624,3.2,-7.53E-05,2.9,-1.80E-05,3,-0.000042772,3.2,-5.77E-05,3.3,-0.000137076,3.2,-1.18E-05,3.4,-0.000103593,3.5,-8.72E-05,3,-4.59E-05,2.9,-3.42E-05,2.8,-3.40E-05,3.5,-0.000371891,3.8,-4.82E-05,3.4,-0.000143422,-6.7,-1.29E-08,-3.6,-6.35E-08,3.8,-8.37292E-05,3.2,-6.01E-05,0,-6.98E-07,3.4,-4.96E-05,3.2,-5.63E-05,3.3,-2.55E-05,3.1,-2.83E-05,3.3,-9.57E-05,3.2,-5.17E-05,3.1,-1.95E-05,3.3,-3.28E-05,3.7,-0.000138512,1.9,-3.25E-05,3.3,-0.000394514,-1.3,-8.87E-07,3,-0.000192633,3.1,-0.000033447,3.3,-0.000894275,1.5,-0.000444682,1.1,-0.000033539,3.8,-0.000534814,3.3,-7.21E-06,3.6,-2.81E-05,3.1,-3.15E-05,3.5,-5.69E-05,3.1,-4.08162E-05,3.4,-0.000216981,3.3,-4.03E-05,3.3,-4.45E-05,3.5,-0.000174375,3.2,-3.83E-05,-1.2,-7.65E-07,3.1,-2.55E-05
3.1,-0.000051621,3.3,-0.000594375,3,-2.30E-05,3.8,-0.000729385,3.3,-7.98E-05,3.1,-0.000164362,3.4,-0.000794137,3.3,-0.000121004,3.3,-0.000251653,3.6,-0.000154263,3.2,-0.000302833,3.3,-0.00027048,3.1,-2.66E-05,3.1,-4.08E-05,3.3,-0.000246262,3.4,-0.000703816,3.3,-8.52E-05,3.5,-0.000762692,3.6,-0.000267947,3.1,-5.98E-05,3.1,-4.29E-05,3.1,-4.90E-05,3.6,-0.00143927,3.9,-0.000464877,3.5,-0.00105701,-5.7,-1.29E-08,-2.7,-6.35E-08,3.9,-0.000845883,3.3,-0.000279226,0.1,-6.97E-07,3.5,-0.000125226,3.3,-0.000119617,3.4,-9.17E-05,3.2,-6.97E-05,3.4,-0.000679214,3.3,-0.000361258,3.2,-4.40E-05,3.4,-0.000161357,3.8,-0.00159003,2.4,-5.17E-05,3.4,-0.00209853,-0.4,-8.87E-07,3.1,-0.000230433,3.2,-7.35E-05,3.4,-0.00367029,1.7,-0.000450225,1.4,-4.35E-05,3.9,0.00405715,3.4,-4.27E-05,3.7,-8.66E-05,3.2,-5.52E-05,3.6,-0.000133654,3.2,-0.00021836,3.5,-0.000591603,3.4,-0.000153079,3.4,-0.000359492,3.6,-0.000717036,3.3,-0.000136709,-0.8,-7.65E-07,3.2,-5.84E-05
3.2,-0.000112223,3.4,-0.00194366,3.1,-0.000022797,3.9,-0.00208812,3.4,-0.00016426,3.2,-0.000240147,3.5,-0.00239407,3.4,-0.000354492,3.4,-0.000830177,3.7,-0.000218332,3.3,-0.00109808,3.4,-0.000917636,3.2,-6.06E-05,3.3,-7.00E-05,3.4,-0.000977386,3.5,-0.00216916,3.4,-0.000435313,3.6,-0.00273714,3.7,-0.000579908,3.2,-0.000138934,3.2,-6.87E-05,3.2,-8.15E-05,3.7,-0.00250596,4,-0.000946621,3.6,-0.00379785,-5,-1.29E-08,3.2,-2.25E-05,4,-0.00211277,3.4,-0.00110233,3.2,-2.56E-05,3.6,-0.000301235,3.4,-0.000294263,3.5,-0.000314575,3.3,-0.000212097,3.5,-0.00232561,3.4,-0.00183218,3.3,-0.000131632,3.5,-0.000767291,3.9,-0.00457688,2.7,-7.08E-05,3.5,-0.0091698,3.1,-2.64E-05,3.2,-0.000435176,3.3,-0.000162472,3.5,-0.00879433,1.9,-0.00045774,1.6,-5.17E-05,4,0.0250168,3.5,-0.000197255,3.8,-0.000155548,3.3,-0.000123727,3.7,-0.000299655,3.3,-0.000907004,3.6,-0.00124377,3.5,-0.000478593,3.5,-0.00223273,3.7,-0.0016527,3.4,-0.000517162,2.9,-0.00001835,3.3,-0.000209213
3.3,-0.000252547,3.5,-0.0063845,3.3,-2.60E-05,4,-0.00287446,3.5,-0.000305623,3.3,-0.000431159,3.6,-0.00449319,3.5,-0.000846212,3.5,-0.00276077,3.8,-0.000138121,3.4,-0.00411647,3.5,-0.00306694,3.3,-0.000170351,3.4,-0.00015,3.5,-0.00268784,3.6,-0.00417708,3.5,-0.00132804,3.7,-0.00399687,3.8,-0.000915111,3.3,-0.000393302,3.3,-0.000137349,3.3,-0.00017025,3.8,-0.00271956,4.1,-0.00175213,3.7,-0.00555406,-2.8,-1.29E-08,3.3,-0.00013359,4.1,-0.00391302,3.5,-0.00255482,3.3,-9.44E-05,3.7,-0.000648308,3.5,-0.000873703,3.6,-0.000633986,3.4,-0.000587072,3.6,-0.00561552,3.5,-0.00568509,3.4,-0.000409674,3.6,-0.00258943,4,-0.00474219,2.9,-8.81E-05,3.6,-0.023003,3.2,-6.49E-05,3.3,-0.0010681,3.4,-0.000369092,3.6,-0.016017,2,-0.000462344,1.8,-6.14E-05,4.1,0.0255812,3.6,-0.000667223,3.9,-0.000193979,3.4,-0.000307015,3.8,-0.00056564,3.4,-0.00190499,3.7,-0.00203491,3.6,-0.000941547,3.6,-0.00583482,3.8,-0.00244908,3.5,-0.00157281,3.1,-2.70E-05,3.4,-0.000722258
3.4,-0.00060357,3.6,-0.0182697,3.4,-3.08E-05,4.1,-0.00482899,3.6,-0.000526658,3.4,-0.00082913,3.7,-0.00575632,3.6,-0.00153415,3.6,-0.00799833,3.9,0.000299111,3.5,-0.0134152,3.6,-0.00888447,3.4,-0.00044033,3.5,-0.000348288,3.6,-0.00439105,3.7,-0.00570795,3.6,-0.00250719,3.8,-0.00366286,3.9,-0.00111634,3.4,-0.000991447,3.4,-0.000304763,3.4,-0.00039013,3.9,-0.00214481,4.2,-0.00239372,3.8,-0.005103,-1.9,-1.29E-08,3.4,-0.000707201,4.2,-0.00534912,3.6,-0.00382445,3.4,-0.000376911,3.8,-0.0011575,3.6,-0.00397436,3.7,-0.000796426,3.5,-0.00129865,3.7,-0.0101557,3.6,-0.0113006,3.5,-0.0012793,3.7,-0.00544252,4.1,-0.00655,3,-9.85E-05,3.7,-0.0357351,3.3,-0.000265606,3.4,-0.00276811,3.5,-0.000887947,3.7,-0.022157,2.1,-0.000467694,1.9,-6.69E-05,4.2,0.0254559,3.7,-0.00163252,4,-0.000165052,3.5,-0.000793533,3.9,-0.00087688,3.5,-0.00260841,3.8,-0.00268345,3.7,-0.00115359,3.7,-0.00739696,3.9,-0.0026653,3.6,-0.00302764,3.2,-0.000061684,3.5,-0.00157207
3.5,-0.00145944,3.7,-0.0336755,3.5,-3.90E-05,4.2,-0.00675385,3.7,-0.00081071,3.5,-0.00166667,3.8,-0.0048879,3.7,-0.00206017,3.7,-0.0148729,4,0.00135852,3.6,-0.0302267,3.7,-0.016501,3.5,-0.000922859,3.6,-0.000705164,3.7,-0.00483159,3.8,-0.00604523,3.7,-0.00329243,3.9,-0.00250199,4,-0.00113404,3.5,-0.00195561,3.5,-0.000722359,3.5,-0.000915865,4,-0.00123589,4.3,-0.00290064,3.9,-0.00349572,-0.6,-1.29E-08,3.5,-0.0022588,4.3,-0.00648583,3.7,-0.00458835,3.5,-0.00124297,3.9,-0.0015122,3.7,-0.0135858,3.8,-0.000746393,3.6,-0.00216284,3.8,-0.0130899,3.7,-0.0163226,3.6,-0.00348534,3.8,-0.00764989,4.2,-0.00797237,3.1,-0.000110112,3.8,-0.04113,3.4,-0.00131762,3.5,-0.00710818,3.6,-0.00213786,3.8,-0.0143567,2.2,-0.000474378,2,-7.29E-05,4.3,0.0253281,3.8,-0.0029377,4.1,-0.000233375,3.6,-0.00235467,4,-0.00117847,3.6,-0.00284478,3.9,-0.00289057,3.8,-0.00105453,3.8,-0.00663573,4,-0.00203433,3.7,-0.00362791,3.3,-0.000173392,3.6,-0.00243945
3.6,-0.00296346,3.8,-0.0392524,3.6,-5.07E-05,4.3,-0.00845555,3.8,-0.00105596,3.6,-0.00338428,3.9,-0.001111,3.8,-0.00205326,3.8,-0.0174545,4.1,0.00224096,3.7,-0.0407874,3.8,-0.0193422,3.6,-0.00148943,3.7,-0.00109095,3.8,-0.00410376,3.9,-0.00513311,3.8,-0.00319734,4,-0.00116861,4.1,-0.00121694,3.6,-0.00290212,3.6,-0.00208721,3.6,-0.00249108,4.1,-0.00145886,4.4,-0.00330074,4,-0.00163128,3.2,-2.05E-05,3.6,-0.0041245,4.4,-0.0073849,3.8,-0.00433425,3.6,-0.00268859,4,-0.00111966,3.8,-0.0169469,3.9,-0.000578702,3.7,-0.00269061,3.9,-0.0124681,3.8,-0.0185969,3.7,-0.00611836,3.9,-0.00781505,4.3,-0.00908956,3.2,-0.000199318,3.9,-0.0374841,3.5,-0.00452337,3.6,-0.0159263,3.7,-0.00426514,3.9,0.0407053,2.3,-0.000482153,2.1,-7.95E-05,4.4,0.0252008,3.9,-0.00401046,4.2,-0.000309286,3.7,-0.00508615,4.1,-0.00212414,3.7,-0.00290484,4,-0.00243932,3.9,-0.000811106,3.9,-0.00491859,4.1,-0.0025629,3.8,-0.00277794,3.4,-0.000448484,3.7,-0.00310684
