Time (ms)_aslanidi_atrial,2020_Aslanidi_2009_atrial,Time (ms)_aslanidi_purkinje,2020_Aslanidi_2009_purkinje,Time (ms)_beeler,2020_Beeler_1977,Time (ms)_bondarenko,2020_Bondarenko_2004,Time (ms)_cabo,2020_Cabo_2003,Time (ms)_corriass,2020_Corrias_2011,Time (ms)_cortassa,2020_Cortassa_2006,Time (ms)_courtemanche,2020_Courtemanche_1998,Time (ms)_decker,2020_Decker_2009,Time (ms)_demir,2020_Demir 1999,Time (ms)_difrancesco,2020_DiFrancesco_1985,Time (ms)_dokos,2020_Dokos_1996,Time (ms)_faber,2020_Faber_2007,Time (ms)_fox,2020_Fox_2002,Time (ms)_grandi,2020_Grandi_2010,Time (ms)_hilgemann,2020_Hilgemann_1987,Time (ms)_hund,2020_Hund_2004,Time (ms)_inada,2020_Inada_2009,Time (ms)_iyer,2020_Iyer 2004,Time (ms)_jafri,2020_Jafri_1998,Time (ms)_kurata,2020_Kurata_2002,Time (ms)_li2010,2020_Li_2010,Time (ms)_li2011,2020_Li_2011,Time (ms)_lindblad,2020_Lindblad_1996,Time (ms)_livshitz,2020_Livshitz_2007,Time (ms)_lovell,2020_Lovell_2004,Time (ms)_luo,2020_Luo_1994,Time (ms)_mahajan,2020_Mahajan_2008,Time (ms)_matsuoka,2020_Matsuoka_2003,Time (ms)_mcallister,2020_McAllister_1975,Time (ms)_noble1991,2020_Noble_1991,Time (ms)_noble1998,2020_Noble_1998,Time (ms)_nygren,2020_Nygren_1998,Time (ms)_ohara,2020_ohara_2011,Time (ms)_paci,2020_Paci_2013,Time (ms)_pandit2001,2020_Pandi_2001,Time (ms)_priebe,2020_Priebe_1998,Time (ms)_ramirez,2020_Ramirez_2000,Time (ms)_shannon,2020_Shannon_2004,Time (ms)_tentusscher2004,2020_ten_Tusscher_2004,Time (ms)_tusscher2006,2020_ten_Tusscher_2006,Time (millisecond)_tomek,2020_Tomek_2019,Time (millisecond)_varela,2020_Varela_2016,Time (millisecond)_wilders,2020_Wilders_1991,Time (millisecond)_winslow,2020_Winslow_1999,Time (millisecond)_zhang,2020_Zhang_2000,Time (ms)_bartolucci,Bartolucci 2020,Time (ms)_pohl,Pohl 2016 (ICaL),Time (ms)_trovato,Trovato 2020,Time (ms)_grandi_2011,Grandi 2011,Time (ms)_heijman,Heijman 2011,Time (ms)_fink,Fink_2008,Time (ms)_kernik,Kernik 2019 (ICaL),Time (ms)_koivumaki,Koivumaki 2011,Time (ms)_michailova,Michailova 2005,Time (ms)_nordin,Nordin 1993 (ICaL),Time (ms)_pasek,Pasek 2006,Time (ms)_sato,Sato 2006 (ICaL),Time (ms)_zeng,Zeng 1995 (ICaL),Time_ms_hund_2008,Hund_2008
-10,0.00010743,-10,1.16E-06,-10,0.00228994,-10,2.22E-20,-10,3.54E-08,-10,1.12E-06,-10,1.66E-23,-10,4.81E-05,-10,2.22E-05,-10,5.15E-06,-10,7.96E-08,-10,2.10E-06,-10,3.60E-08,-10,3.48E-06,-10,1.00E-06,-10,7.96E-08,-10,7.13E-54,-10,2.81E-06,-10,2.19E-11,-10,3.27E-21,-10,3.55E-06,-10,6.22E-07,-10,8.30E-06,-10,4.48E-05,-10,1.13E-12,-10,0.0010947,-10,3.82E-06,-10,4.97E-06,-10,2.08E-07,-10,0.000611075,-10,8.68E-08,-10,7.29E-08,-10,1.28E-06,-10,2.53E-09,-10,8.47E-06,-10,5.14E-07,-10,6.92E-10,-10,1.87E-06,-10,4.90E-06,-10,0.000016341,-10,2.42E-05,-10,0,-10,2.84E-08,-10,4.61E-06,-10,2.81E-24,-10,2.11E-05,-10,2.51E-09,-10,1.43E-05,-10,5.48E-09,-10,1.96E-06,-10,7.95E-11,-10,0.000004284,-10,6.86125E-05,-10,1.23419E-06,-10,2.44E-24,-10,5.35E-11,-10,5.14E-07,-10,1.4365E-06,-10,3.39519E-06,-10,1.14537E-06
0,0.000107426,0,1.16E-06,0,0.00228989,0,2.22E-20,-9,3.54E-08,0,1.12E-06,0,1.66E-23,-8.5,4.81E-05,0,2.22E-05,0,5.15E-06,0,7.96E-08,0,2.10E-06,0,3.60E-08,0,3.48E-06,0,1.00E-06,-9.3,7.96E-08,0,7.12E-54,0,2.81E-06,0,2.19E-11,0,3.27E-21,0,3.55E-06,-9.7,6.22E-07,0,8.30E-06,0,4.48E-05,0,1.13E-12,0,0.00109469,-8.1,3.82E-06,0,4.97E-06,0,2.08E-07,0,0.000611025,0,8.68E-08,0,7.29E-08,0,0.000001279,0,2.53E-09,0,8.47E-06,0,5.14E-07,-5.3,6.92E-10,-8.9,1.87E-06,0,4.90E-06,0,0.00001634,0,2.42E-05,3.4,0.000211489,-8.7,2.84E-08,0,4.61E-06,0,2.81E-24,0,2.11E-05,-7,2.51E-09,0,1.43E-05,0,5.48E-09,0,1.96E-06,0,7.95E-11,0,4.28372E-06,0,0.000068609,0,1.23412E-06,0,2.44E-24,-0.1,5.35E-11,0,5.14E-07,0,1.43647E-06,-9.4,3.3952E-06,0,1.1453E-06
3.1,0.0021998,3.3,0.00047096,3.1,0.00392854,3.7,0.00161505,-7.9,3.54E-08,3.2,0.000464775,3.7,3.30E-05,3.1,0.00104086,3.3,0.00115493,3.2,0.00172895,3.3,0.00113926,3.3,0.00044756,3.5,0.000625311,3.4,0.000752954,3.3,0.000956402,0,7.96E-08,3.9,0.000167162,3.3,0.000615842,3.5,6.38E-05,3.7,0.000188348,3.2,0.000381439,0,6.22E-07,3.2,0.000408124,3.2,0.00230422,3.3,0.000467439,1.2,0.001168,-8,3.82E-06,3.4,0.000379654,3.3,0.000385157,1.5,0.00188831,3.2,0.000422219,3.2,0.000354987,3.3,0.000360103,3.4,0.00126171,3.3,0.00182087,3.2,0.00106687,0,6.92E-10,3.2,0.00038553,3.2,0.000906251,3.2,0.000855042,3.2,0.00126631,3.5,0.00678428,3.4,0.000783589,3.2,0.00023417,1.9,8.38E-20,3.2,0.00127608,0,2.51E-09,3.2,0.000404252,3.3,0.000241133,3.3,0.00165108,3.4,0.00128619,3.3,0.000588428,3.2,0.00184221,3.3,0.000346135,3.7,0.000104055,3.4,0.000793155,3.2,0.00106686,3.4,0.00103011,-8.6,3.39519E-06,3.3,0.000469971
3.2,0.00539776,3.4,0.00197355,3.3,0.0050835,3.8,0.0189345,-7,3.54E-08,3.3,0.00301595,3.8,0.00148165,3.2,0.00206623,3.4,0.00300338,3.3,0.00937139,3.4,0.00714523,3.4,0.00208775,3.6,0.00228743,3.5,0.00379366,3.4,0.00387452,3.3,0.00113424,4,0.00130225,3.4,0.00345933,3.6,0.000218599,3.8,0.00394411,3.3,0.00178488,3.3,0.000363248,3.3,0.00124054,3.3,0.00574927,3.4,0.00203947,1.8,0.00124822,-4.2,3.82E-06,3.5,0.00126642,3.4,0.00212587,2,0.0029894,3.3,0.00363504,3.3,0.00305692,3.4,0.0022237,3.5,0.0135797,3.4,0.00611559,3.3,0.00619078,3.4,0.000799774,3.3,0.00153751,3.3,0.00339216,3.3,0.00221965,3.3,0.00326676,3.6,0.0426046,3.5,0.00468037,3.3,0.000977848,2.1,-3.74E-18,3.3,0.00528371,3.4,0.00125254,3.3,0.0013248,3.4,0.0026806,3.4,0.00632931,3.5,0.00653445,3.4,0.00183674,3.3,0.00636162,3.4,0.00213215,3.8,0.00407382,3.5,0.00453741,3.3,0.00619059,3.5,0.00470748,-5.2,3.39523E-06,3.4,0.00198681
3.3,0.0138608,3.5,0.00864482,3.4,0.00649223,3.9,0.0797687,-5.8,3.54E-08,3.4,0.0178946,3.9,0.0284455,3.3,0.00498339,3.5,0.00854269,3.4,0.0451492,3.5,0.0280097,3.5,0.00832094,3.7,0.00797287,3.6,0.0118977,3.5,0.0135282,3.4,0.00706361,4.1,0.00532778,3.5,0.0195936,3.7,0.000616075,3.9,0.0215915,3.4,0.0106472,3.4,0.00186283,3.4,0.00411523,3.4,0.0149214,3.5,0.00910278,2.1,0.00130897,-3.9,3.82E-06,3.6,0.00391058,3.5,0.00869462,2.3,0.00394899,3.4,0.0228728,3.4,0.0192678,3.5,0.0119175,3.6,0.0786573,3.5,0.022378,3.4,0.0186209,3.5,0.004,3.4,0.00588416,3.4,0.0118672,3.4,0.00665833,3.4,0.00956294,3.7,0.122166,3.6,0.0239655,3.4,0.00450195,2.4,2.53E-18,3.4,0.0223003,3.5,0.0134925,3.4,0.00476666,3.5,0.024829,3.5,0.0204942,3.6,0.0240892,3.5,0.00710597,3.4,0.0224143,3.5,0.0113401,3.9,0.0534329,3.6,0.0193515,3.4,0.0186053,3.6,0.0143757,-4.7,3.39522E-06,3.5,0.00884267
3.4,0.0384557,3.6,0.0351898,3.5,0.00892102,4,0.188314,-5,3.54E-08,3.5,0.0655556,4,0.140262,3.4,0.0118439,3.6,0.0260635,3.5,0.132475,3.6,0.0715093,3.6,0.0224112,3.8,0.0249042,3.7,0.0240579,3.6,0.0381874,3.5,0.0274716,4.2,0.0146928,3.6,0.0816501,3.8,0.00147319,4,0.0427059,3.5,0.0465575,3.5,0.00881599,3.5,0.0140867,3.5,0.0417692,3.6,0.0375615,2.3,0.0013637,-0.1,3.82E-06,3.7,0.00974078,3.6,0.0222368,2.6,0.00521491,3.5,0.0881481,3.5,0.0743974,3.6,0.0379147,3.7,0.190277,3.6,0.0988599,3.5,0.0375668,3.6,0.0137916,3.5,0.0189765,3.5,0.0342772,3.5,0.0222682,3.5,0.0297377,3.8,0.22892,3.7,0.0712153,3.5,0.0175791,2.5,1.83E-18,3.5,0.0609618,3.6,0.0782266,3.5,0.0141781,3.6,0.103997,3.6,0.0531102,3.7,0.0701282,3.6,0.0440453,3.5,0.0581913,3.6,0.0356329,4,0.124349,3.7,0.0611832,3.5,0.0374692,3.7,0.0283872,-1.3,3.39526E-06,3.6,0.0368409
3.5,0.111835,3.7,0.0979718,3.6,0.0126846,4.1,0.320416,-3.8,3.54E-08,3.6,0.134945,4.1,0.265552,3.5,0.0257306,3.7,0.0719448,3.6,0.254021,3.7,0.136931,3.7,0.0411772,3.9,0.0640092,3.8,0.0377714,3.7,0.0858304,3.6,0.0695777,4.3,0.031366,3.7,0.217607,3.9,0.00306799,4.1,0.0594911,3.6,0.124425,3.6,0.030824,3.6,0.0446633,3.6,0.121293,3.7,0.105491,2.5,0.00143067,3.2,0.000611523,3.8,0.0191647,3.7,0.0402896,2.8,0.00627062,3.6,0.215377,3.6,0.182129,3.7,0.0759926,3.8,0.303987,3.7,0.35355,3.6,0.0627654,3.7,0.0334719,3.6,0.0481318,3.6,0.079023,3.6,0.0953147,3.6,0.111447,3.9,0.33854,3.8,0.141307,3.6,0.0463124,2.7,3.26E-18,3.6,0.120957,3.7,0.189524,3.6,0.030078,3.7,0.213844,3.7,0.110422,3.8,0.152707,3.7,0.23457,3.6,0.10669,3.7,0.0704237,4.1,0.127999,3.8,0.146893,3.6,0.0625256,3.8,0.0434701,-0.6,3.39525E-06,3.7,0.105251
3.6,0.286463,3.8,0.179502,3.7,0.017754,4.2,0.451318,-2.8,3.54E-08,3.7,0.202484,4.2,0.365354,3.6,0.0527475,3.8,0.154423,3.7,0.412774,3.8,0.218768,3.8,0.0605737,4,0.121623,3.9,0.0513691,3.8,0.158331,3.7,0.132173,4.4,0.0560826,3.8,0.403207,4,0.00568301,4.2,0.0726503,3.7,0.241922,3.7,0.0676118,3.7,0.105777,3.7,0.305727,3.8,0.194474,2.7,0.00151208,3.3,0.00225293,3.9,0.0314127,3.8,0.0607481,3,0.00753145,3.7,0.384187,3.7,0.32549,3.8,0.118074,3.9,0.404913,3.8,0.589419,3.7,0.103756,3.8,0.0592328,3.7,0.0973691,3.7,0.148882,3.7,0.348367,3.7,0.366962,4,0.433509,3.9,0.225926,3.7,0.0832473,2.8,2.62E-18,3.7,0.208766,3.8,0.303704,3.7,0.0486676,3.8,0.321513,3.8,0.191578,3.9,0.256115,3.8,0.469277,3.7,0.157327,3.8,0.107859,4.2,0.127516,3.9,0.278369,3.7,0.103281,3.9,0.0584795,3.2,0.000543853,3.8,0.197167
3.7,0.583755,3.9,0.256126,3.8,0.0236639,4.3,0.567348,-1.8,3.54E-08,3.8,0.262185,4.3,0.444065,3.7,0.0998425,3.9,0.257909,3.8,0.596165,3.9,0.310013,3.9,0.0792544,4.1,0.168371,4,0.0640282,3.9,0.250927,3.8,0.209488,4.5,0.0882088,3.9,0.587843,4.1,0.00946119,4.3,0.0829427,3.8,0.380882,3.8,0.105444,3.8,0.182798,3.8,0.61203,3.9,0.279559,2.8,0.00155909,3.4,0.00799383,4,0.0453977,3.9,0.0828011,3.1,0.014495,3.8,0.558981,3.8,0.474457,3.9,0.159904,4,0.490646,3.9,0.705756,3.8,0.161819,3.9,0.0812084,3.8,0.165424,3.8,0.23975,3.8,0.59107,3.8,0.598325,4.1,0.512565,4,0.317226,3.8,0.11983,3.7,5.60E-06,3.8,0.324481,3.9,0.406343,3.8,0.0672105,3.9,0.416555,3.9,0.290054,4,0.359486,3.9,0.60298,3.8,0.206098,3.9,0.144018,4.3,0.127013,4,0.434953,3.8,0.161,4,0.073185,3.3,0.0020036,3.9,0.286026
3.8,0.959389,4,0.320511,3.9,0.0298046,4.4,0.66317,-1,3.54E-08,3.9,0.314118,4.4,0.506057,3.8,0.167346,4,0.361576,3.9,0.76739,4,0.403632,4,0.0969673,4.2,0.205181,4.1,0.0759557,4,0.355373,3.9,0.294503,4.6,0.126078,4,0.735369,4.2,0.0141696,4.4,0.0909672,3.9,0.511232,3.9,0.137738,3.9,0.257412,3.9,0.99025,4,0.352782,2.9,0.00161084,3.5,0.0241902,4.1,0.0601937,4,0.105963,3.2,0.0326022,3.9,0.710047,3.9,0.603778,4,0.200012,4.1,0.562193,4,0.765688,3.9,0.23681,4,0.0932922,3.9,0.246952,3.9,0.343613,3.9,0.713853,3.9,0.711425,4.2,0.577895,4.1,0.400742,3.9,0.153437,3.8,0.000251913,3.9,0.455023,4,0.494957,3.9,0.0848502,4,0.497096,4,0.397009,4.1,0.450198,4,0.674296,3.9,0.252165,4,0.177673,4.4,0.126511,4.1,0.574748,3.9,0.235537,4.1,0.0875496,3.4,0.00710908,4,0.362251
