Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.999998,-90.01,0.999998,-90.01,0.999998,-90.01,0.999998,-90.01,0.999998,-90.01,0.999998,-90.01,0.999996,-90.01,0.999989,-90.01,0.999812,-90.01,0.995346,-90.01,0.853503,-90.01,0.177553,-90.01,0.00578966,-90.01,0.000215002,-90.01,0.00000574634,-90.01,2.06487e-7,-90.01,4.97585e-9,-90.01,1.20864e-10
-88.01,0.999998,-88.01,0.999998,-88.01,0.999998,-88.01,0.999998,-88.01,0.999998,-88.01,0.999998,-88.01,0.999996,-88.01,0.999989,-88.01,0.999812,-88.01,0.995346,-88.01,0.853503,-88.01,0.177553,-88.01,0.00578966,-88.01,0.000215002,-88.01,0.00000574634,-88.01,2.06487e-7,-88.01,4.97585e-9,-88.01,1.20864e-10
-86.01,0.999998,-86.01,0.999998,-86.01,0.999998,-86.01,0.999998,-86.01,0.999998,-86.01,0.999998,-86.01,0.999997,-86.01,0.999989,-86.01,0.999812,-86.01,0.995346,-86.01,0.853503,-86.01,0.177553,-86.01,0.00578966,-86.01,0.000215002,-86.01,0.00000574634,-86.01,2.06487e-7,-86.01,4.97585e-9,-86.01,1.20864e-10
-84.01,0.999998,-84.01,0.999998,-84.01,0.999998,-84.01,0.999998,-84.01,0.999998,-84.01,0.999998,-84.01,0.999997,-84.01,0.999989,-84.01,0.999812,-84.01,0.995346,-84.01,0.853503,-84.01,0.177553,-84.01,0.00578966,-84.01,0.000215002,-84.01,0.00000574635,-84.01,2.06487e-7,-84.01,4.97585e-9,-84.01,1.20864e-10
-82.01,0.999999,-82.01,0.999999,-82.01,0.999999,-82.01,0.999998,-82.01,0.999998,-82.01,0.999998,-82.01,0.999997,-82.01,0.999989,-82.01,0.999812,-82.01,0.995346,-82.01,0.853503,-82.01,0.177553,-82.01,0.00578966,-82.01,0.000215002,-82.01,0.00000574635,-82.01,2.06487e-7,-82.01,4.97585e-9,-82.01,1.20864e-10
-80.01,0.999999,-80.01,0.999999,-80.01,0.999999,-80.01,0.999999,-80.01,0.999999,-80.01,0.999998,-80.01,0.999997,-80.01,0.99999,-80.01,0.999813,-80.01,0.995347,-80.01,0.853504,-80.01,0.177553,-80.01,0.00578967,-80.01,0.000215002,-80.01,0.00000574635,-80.01,2.06487e-7,-80.01,4.97585e-9,-80.01,1.20864e-10
-78.01,0.999999,-78.01,0.999999,-78.01,0.999999,-78.01,0.999999,-78.01,0.999999,-78.01,0.999999,-78.01,0.999997,-78.01,0.99999,-78.01,0.999813,-78.01,0.995347,-78.01,0.853504,-78.01,0.177553,-78.01,0.00578967,-78.01,0.000215002,-78.01,0.00000574635,-78.01,2.06487e-7,-78.01,4.97586e-9,-78.01,1.20864e-10
-76.01,0.999999,-76.01,0.999999,-76.01,0.999999,-76.01,0.999999,-76.01,0.999999,-76.01,0.999999,-76.01,0.999998,-76.01,0.99999,-76.01,0.999813,-76.01,0.995347,-76.01,0.853504,-76.01,0.177553,-76.01,0.00578967,-76.01,0.000215002,-76.01,0.00000574635,-76.01,2.06487e-7,-76.01,4.97586e-9,-76.01,1.20864e-10
-74.01,1,-74.01,1,-74.01,1,-74.01,1,-74.01,0.999999,-74.01,0.999999,-74.01,0.999998,-74.01,0.999991,-74.01,0.999813,-74.01,0.995347,-74.01,0.853504,-74.01,0.177553,-74.01,0.00578967,-74.01,0.000215002,-74.01,0.00000574635,-74.01,2.06487e-7,-74.01,4.97586e-9,-74.01,1.20864e-10
-72.01,1,-72.01,1,-72.01,1,-72.01,1,-72.01,1,-72.01,0.999999,-72.01,0.999998,-72.01,0.999991,-72.01,0.999814,-72.01,0.995348,-72.01,0.853505,-72.01,0.177553,-72.01,0.00578967,-72.01,0.000215002,-72.01,0.00000574635,-72.01,2.06487e-7,-72.01,4.97586e-9,-72.01,1.20864e-10
-70.01,1,-70.01,1,-70.01,1,-70.01,1,-70.01,1,-70.01,1,-70.01,0.999998,-70.01,0.999991,-70.01,0.999814,-70.01,0.995348,-70.01,0.853505,-70.01,0.177553,-70.01,0.00578967,-70.01,0.000215002,-70.01,0.00000574635,-70.01,2.06488e-7,-70.01,4.97586e-9,-70.01,1.20864e-10
-68.01,1,-68.01,1,-68.01,1,-68.01,1,-68.01,1,-68.01,0.999999,-68.01,0.999998,-68.01,0.999991,-68.01,0.999814,-68.01,0.995348,-68.01,0.853505,-68.01,0.177553,-68.01,0.00578967,-68.01,0.000215002,-68.01,0.00000574635,-68.01,2.06487e-7,-68.01,4.97586e-9,-68.01,1.20864e-10
-66.01,0.999999,-66.01,0.999999,-66.01,0.999999,-66.01,0.999999,-66.01,0.999999,-66.01,0.999999,-66.01,0.999998,-66.01,0.99999,-66.01,0.999813,-66.01,0.995347,-66.01,0.853504,-66.01,0.177553,-66.01,0.00578967,-66.01,0.000215002,-66.01,0.00000574635,-66.01,2.06487e-7,-66.01,4.97586e-9,-66.01,1.20864e-10
-64.01,0.999998,-64.01,0.999998,-64.01,0.999998,-64.01,0.999997,-64.01,0.999997,-64.01,0.999997,-64.01,0.999996,-64.01,0.999988,-64.01,0.999811,-64.01,0.995345,-64.01,0.853503,-64.01,0.177553,-64.01,0.00578966,-64.01,0.000215002,-64.01,0.00000574634,-64.01,2.06487e-7,-64.01,4.97585e-9,-64.01,1.20864e-10
-62.01,0.999994,-62.01,0.999994,-62.01,0.999994,-62.01,0.999994,-62.01,0.999994,-62.01,0.999994,-62.01,0.999993,-62.01,0.999985,-62.01,0.999808,-62.01,0.995342,-62.01,0.8535,-62.01,0.177552,-62.01,0.00578964,-62.01,0.000215001,-62.01,0.00000574632,-62.01,2.06486e-7,-62.01,4.97583e-9,-62.01,1.20863e-10
-60.01,0.999988,-60.01,0.999988,-60.01,0.999988,-60.01,0.999988,-60.01,0.999988,-60.01,0.999987,-60.01,0.999986,-60.01,0.999979,-60.01,0.999802,-60.01,0.995336,-60.01,0.853494,-60.01,0.177551,-60.01,0.0057896,-60.01,0.000215,-60.01,0.00000574628,-60.01,2.06485e-7,-60.01,4.9758e-9,-60.01,1.20863e-10
-58.01,0.999977,-58.01,0.999977,-58.01,0.999977,-58.01,0.999977,-58.01,0.999977,-58.01,0.999976,-58.01,0.999975,-58.01,0.999968,-58.01,0.999791,-58.01,0.995325,-58.01,0.853485,-58.01,0.177549,-58.01,0.00578954,-58.01,0.000214997,-58.01,0.00000574622,-58.01,2.06483e-7,-58.01,4.97575e-9,-58.01,1.20861e-10
-56.01,0.999958,-56.01,0.999958,-56.01,0.999958,-56.01,0.999958,-56.01,0.999957,-56.01,0.999957,-56.01,0.999956,-56.01,0.999949,-56.01,0.999771,-56.01,0.995306,-56.01,0.853468,-56.01,0.177546,-56.01,0.00578943,-56.01,0.000214993,-56.01,0.00000574611,-56.01,2.06479e-7,-56.01,4.97565e-9,-56.01,1.20859e-10
-54.01,0.999926,-54.01,0.999926,-54.01,0.999926,-54.01,0.999926,-54.01,0.999926,-54.01,0.999925,-54.01,0.999924,-54.01,0.999917,-54.01,0.99974,-54.01,0.995274,-54.01,0.853441,-54.01,0.17754,-54.01,0.00578924,-54.01,0.000214986,-54.01,0.00000574593,-54.01,2.06472e-7,-54.01,4.97549e-9,-54.01,1.20855e-10
-52.01,0.999874,-52.01,0.999874,-52.01,0.999874,-52.01,0.999874,-52.01,0.999873,-52.01,0.999873,-52.01,0.999872,-52.01,0.999865,-52.01,0.999687,-52.01,0.995222,-52.01,0.853397,-52.01,0.177531,-52.01,0.00578894,-52.01,0.000214975,-52.01,0.00000574563,-52.01,2.06461e-7,-52.01,4.97523e-9,-52.01,1.20849e-10
-50.01,0.999789,-50.01,0.999789,-50.01,0.999789,-50.01,0.999789,-50.01,0.999789,-50.01,0.999789,-50.01,0.999788,-50.01,0.99978,-50.01,0.999603,-50.01,0.995138,-50.01,0.853325,-50.01,0.177516,-50.01,0.00578845,-50.01,0.000214957,-50.01,0.00000574514,-50.01,2.06444e-7,-50.01,4.97481e-9,-50.01,1.20839e-10
-48.01,0.999654,-48.01,0.999654,-48.01,0.999654,-48.01,0.999654,-48.01,0.999654,-48.01,0.999654,-48.01,0.999653,-48.01,0.999645,-48.01,0.999468,-48.01,0.995004,-48.01,0.85321,-48.01,0.177492,-48.01,0.00578767,-48.01,0.000214928,-48.01,0.00000574437,-48.01,2.06416e-7,-48.01,4.97414e-9,-48.01,1.20822e-10
-46.01,0.99944,-46.01,0.99944,-46.01,0.99944,-46.01,0.99944,-46.01,0.99944,-46.01,0.99944,-46.01,0.999438,-46.01,0.999431,-46.01,0.999254,-46.01,0.99479,-46.01,0.853027,-46.01,0.177454,-46.01,0.00578643,-46.01,0.000214882,-46.01,0.00000574314,-46.01,2.06372e-7,-46.01,4.97307e-9,-46.01,1.20796e-10
-44.01,0.999102,-44.01,0.999102,-44.01,0.999102,-44.01,0.999102,-44.01,0.999102,-44.01,0.999102,-44.01,0.999101,-44.01,0.999093,-44.01,0.998916,-44.01,0.994454,-44.01,0.852738,-44.01,0.177394,-44.01,0.00578448,-44.01,0.000214809,-44.01,0.0000057412,-44.01,2.06302e-7,-44.01,4.97139e-9,-44.01,1.20755e-10
-42.01,0.998573,-42.01,0.998573,-42.01,0.998573,-42.01,0.998573,-42.01,0.998573,-42.01,0.998573,-42.01,0.998572,-42.01,0.998564,-42.01,0.998387,-42.01,0.993928,-42.01,0.852287,-42.01,0.1773,-42.01,0.00578141,-42.01,0.000214696,-42.01,0.00000573816,-42.01,2.06193e-7,-42.01,4.96876e-9,-42.01,1.20692e-10
-40.01,0.997748,-40.01,0.997748,-40.01,0.997748,-40.01,0.997748,-40.01,0.997748,-40.01,0.997748,-40.01,0.997746,-40.01,0.997739,-40.01,0.997562,-40.01,0.993106,-40.01,0.851583,-40.01,0.177154,-40.01,0.00577664,-40.01,0.000214518,-40.01,0.00000573341,-40.01,2.06023e-7,-40.01,4.96466e-9,-40.01,1.20592e-10
-38.01,0.996467,-38.01,0.996467,-38.01,0.996467,-38.01,0.996467,-38.01,0.996467,-38.01,0.996467,-38.01,0.996465,-38.01,0.996458,-38.01,0.996282,-38.01,0.991831,-38.01,0.850489,-38.01,0.176926,-38.01,0.00576922,-38.01,0.000214243,-38.01,0.00000572605,-38.01,2.05758e-7,-38.01,4.95828e-9,-38.01,1.20437e-10
-36.01,0.994487,-36.01,0.994487,-36.01,0.994487,-36.01,0.994487,-36.01,0.994487,-36.01,0.994487,-36.01,0.994486,-36.01,0.994478,-36.01,0.994302,-36.01,0.989861,-36.01,0.848799,-36.01,0.176575,-36.01,0.00575776,-36.01,0.000213817,-36.01,0.00000571468,-36.01,2.05349e-7,-36.01,4.94843e-9,-36.01,1.20198e-10
-34.01,0.991442,-34.01,0.991442,-34.01,0.991442,-34.01,0.991442,-34.01,0.991442,-34.01,0.991441,-34.01,0.99144,-34.01,0.991433,-34.01,0.991257,-34.01,0.986829,-34.01,0.8462,-34.01,0.176034,-34.01,0.00574012,-34.01,0.000213162,-34.01,0.00000569718,-34.01,2.0472e-7,-34.01,4.93328e-9,-34.01,1.1983e-10
-32.01,0.986783,-32.01,0.986783,-32.01,0.986783,-32.01,0.986783,-32.01,0.986783,-32.01,0.986783,-32.01,0.986781,-32.01,0.986774,-32.01,0.986599,-32.01,0.982192,-32.01,0.842224,-32.01,0.175207,-32.01,0.00571315,-32.01,0.000212161,-32.01,0.00000567041,-32.01,2.03758e-7,-32.01,4.9101e-9,-32.01,1.19267e-10
-30.01,0.979707,-30.01,0.979707,-30.01,0.979707,-30.01,0.979707,-30.01,0.979707,-30.01,0.979707,-30.01,0.979705,-30.01,0.979698,-30.01,0.979525,-30.01,0.975149,-30.01,0.836185,-30.01,0.17395,-30.01,0.00567218,-30.01,0.000210639,-30.01,0.00000562974,-30.01,2.02297e-7,-30.01,4.87489e-9,-30.01,1.18411e-10
-28.01,0.969061,-28.01,0.969061,-28.01,0.969061,-28.01,0.969061,-28.01,0.969061,-28.01,0.969061,-28.01,0.96906,-28.01,0.969052,-28.01,0.968881,-28.01,0.964553,-28.01,0.827098,-28.01,0.17206,-28.01,0.00561055,-28.01,0.00020835,-28.01,0.00000556857,-28.01,2.00099e-7,-28.01,4.82191e-9,-28.01,1.17125e-10
-26.01,0.953251,-26.01,0.953251,-26.01,0.953251,-26.01,0.953251,-26.01,0.953251,-26.01,0.95325,-26.01,0.953249,-26.01,0.953242,-26.01,0.953074,-26.01,0.948816,-26.01,0.813604,-26.01,0.169253,-26.01,0.00551901,-26.01,0.000204951,-26.01,0.00000547772,-26.01,1.96834e-7,-26.01,4.74324e-9,-26.01,1.15214e-10
-24.01,0.93019,-24.01,0.93019,-24.01,0.93019,-24.01,0.93019,-24.01,0.93019,-24.01,0.930189,-24.01,0.930188,-24.01,0.930181,-24.01,0.930017,-24.01,0.925862,-24.01,0.793921,-24.01,0.165158,-24.01,0.00538549,-24.01,0.000199993,-24.01,0.0000053452,-24.01,1.92073e-7,-24.01,4.62849e-9,-24.01,1.12426e-10
