Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.68E-08,-90.01,3.67E-08,-90.01,3.67E-08,-90.01,3.71E-08,-90.01,3.69E-08,-90.01,3.09E-08,-90.01,2.42E-08,-90.01,2.05E-08,-90.01,1.83E-08,-90.01,1.61E-08
-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.66E-08,-88.01,3.65E-08,-88.01,3.65E-08,-88.01,3.70E-08,-88.01,3.68E-08,-88.01,3.08E-08,-88.01,2.41E-08,-88.01,2.04E-08,-88.01,1.83E-08,-88.01,1.60E-08
-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.64E-08,-86.01,3.63E-08,-86.01,3.63E-08,-86.01,3.68E-08,-86.01,3.66E-08,-86.01,3.07E-08,-86.01,2.40E-08,-86.01,2.03E-08,-86.01,1.82E-08,-86.01,1.60E-08
-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.61E-08,-84.01,3.60E-08,-84.01,3.60E-08,-84.01,3.65E-08,-84.01,3.63E-08,-84.01,3.05E-08,-84.01,2.39E-08,-84.01,2.03E-08,-84.01,1.81E-08,-84.01,1.59E-08
-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.57E-08,-82.01,3.56E-08,-82.01,3.61E-08,-82.01,3.60E-08,-82.01,3.02E-08,-82.01,2.37E-08,-82.01,2.01E-08,-82.01,1.80E-08,-82.01,1.58E-08
-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.53E-08,-80.01,3.52E-08,-80.01,3.52E-08,-80.01,3.52E-08,-80.01,3.57E-08,-80.01,3.56E-08,-80.01,2.99E-08,-80.01,2.35E-08,-80.01,2.00E-08,-80.01,1.79E-08,-80.01,1.57E-08
-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.47E-08,-78.01,3.46E-08,-78.01,3.46E-08,-78.01,3.51E-08,-78.01,3.50E-08,-78.01,2.95E-08,-78.01,2.32E-08,-78.01,1.98E-08,-78.01,1.77E-08,-78.01,1.56E-08
-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.40E-08,-76.01,3.39E-08,-76.01,3.44E-08,-76.01,3.44E-08,-76.01,2.90E-08,-76.01,2.29E-08,-76.01,1.95E-08,-76.01,1.75E-08,-76.01,1.54E-08
-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.32E-08,-74.01,3.31E-08,-74.01,3.31E-08,-74.01,3.36E-08,-74.01,3.36E-08,-74.01,2.84E-08,-74.01,2.25E-08,-74.01,1.92E-08,-74.01,1.72E-08,-74.01,1.51E-08
-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.22E-08,-72.01,3.26E-08,-72.01,3.27E-08,-72.01,2.77E-08,-72.01,2.20E-08,-72.01,1.88E-08,-72.01,1.69E-08,-72.01,1.49E-08
-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.11E-08,-70.01,3.15E-08,-70.01,3.16E-08,-70.01,2.69E-08,-70.01,2.14E-08,-70.01,1.84E-08,-70.01,1.65E-08,-70.01,1.45E-08
-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.98E-08,-68.01,2.98E-08,-68.01,2.98E-08,-68.01,3.03E-08,-68.01,3.04E-08,-68.01,2.59E-08,-68.01,2.08E-08,-68.01,1.78E-08,-68.01,1.60E-08,-68.01,1.41E-08
-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.89E-08,-66.01,2.90E-08,-66.01,2.49E-08,-66.01,2.00E-08,-66.01,1.72E-08,-66.01,1.55E-08,-66.01,1.36E-08
-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.70E-08,-64.01,2.70E-08,-64.01,2.74E-08,-64.01,2.76E-08,-64.01,2.37E-08,-64.01,1.91E-08,-64.01,1.65E-08,-64.01,1.49E-08,-64.01,1.31E-08
-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.55E-08,-62.01,2.55E-08,-62.01,2.59E-08,-62.01,2.60E-08,-62.01,2.24E-08,-62.01,1.82E-08,-62.01,1.57E-08,-62.01,1.42E-08,-62.01,1.25E-08
