Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999995,-90.01,0.999986,-90.01,0.999953,-90.01,0.999858,-90.01,0.999524,-90.01,0.998542,-90.01,0.994433,-90.01,0.502458,-90.01,0.205395,-90.01,0.159635,-90.01,0.155329,-90.01,0.153709,-90.01,0.148041,-90.01,0.131846
-88.01,0.999917,-88.01,0.999917,-88.01,0.999916,-88.01,0.999915,-88.01,0.999912,-88.01,0.999903,-88.01,0.99987,-88.01,0.999775,-88.01,0.999441,-88.01,0.998459,-88.01,0.994351,-88.01,0.502417,-88.01,0.205378,-88.01,0.159622,-88.01,0.155316,-88.01,0.153697,-88.01,0.148029,-88.01,0.131835
-86.01,0.999802,-86.01,0.999802,-86.01,0.999802,-86.01,0.999801,-86.01,0.999798,-86.01,0.999788,-86.01,0.999755,-86.01,0.999661,-86.01,0.999326,-86.01,0.998344,-86.01,0.994237,-86.01,0.502359,-86.01,0.205354,-86.01,0.159604,-86.01,0.155298,-86.01,0.153679,-86.01,0.148012,-86.01,0.13182
-84.01,0.999644,-84.01,0.999644,-84.01,0.999644,-84.01,0.999643,-84.01,0.999639,-84.01,0.99963,-84.01,0.999597,-84.01,0.999502,-84.01,0.999168,-84.01,0.998186,-84.01,0.994079,-84.01,0.502279,-84.01,0.205322,-84.01,0.159578,-84.01,0.155274,-84.01,0.153655,-84.01,0.147989,-84.01,0.1318
-82.01,0.999425,-82.01,0.999425,-82.01,0.999425,-82.01,0.999424,-82.01,0.99942,-82.01,0.999411,-82.01,0.999378,-82.01,0.999283,-82.01,0.99895,-82.01,0.997968,-82.01,0.993862,-82.01,0.502169,-82.01,0.205277,-82.01,0.159543,-82.01,0.15524,-82.01,0.153621,-82.01,0.147956,-82.01,0.131771
-80.01,0.999122,-80.01,0.999122,-80.01,0.999122,-80.01,0.999121,-80.01,0.999118,-80.01,0.999108,-80.01,0.999075,-80.01,0.998981,-80.01,0.998647,-80.01,0.997665,-80.01,0.99356,-80.01,0.502017,-80.01,0.205215,-80.01,0.159495,-80.01,0.155193,-80.01,0.153575,-80.01,0.147911,-80.01,0.131731
-78.01,0.998703,-78.01,0.998703,-78.01,0.998702,-78.01,0.998701,-78.01,0.998698,-78.01,0.998689,-78.01,0.998656,-78.01,0.998561,-78.01,0.998228,-78.01,0.997247,-78.01,0.993143,-78.01,0.501807,-78.01,0.205128,-78.01,0.159428,-78.01,0.155128,-78.01,0.15351,-78.01,0.147849,-78.01,0.131675
-76.01,0.998122,-76.01,0.998122,-76.01,0.998122,-76.01,0.998121,-76.01,0.998117,-76.01,0.998108,-76.01,0.998075,-76.01,0.997981,-76.01,0.997647,-76.01,0.996667,-76.01,0.992566,-76.01,0.501515,-76.01,0.205009,-76.01,0.159335,-76.01,0.155037,-76.01,0.153421,-76.01,0.147763,-76.01,0.131599
-74.01,0.997318,-74.01,0.997318,-74.01,0.997317,-74.01,0.997316,-74.01,0.997313,-74.01,0.997304,-74.01,0.997271,-74.01,0.997176,-74.01,0.996843,-74.01,0.995864,-74.01,0.991766,-74.01,0.501111,-74.01,0.204844,-74.01,0.159207,-74.01,0.154912,-74.01,0.153297,-74.01,0.147644,-74.01,0.131493
-72.01,0.996205,-72.01,0.996205,-72.01,0.996204,-72.01,0.996203,-72.01,0.9962,-72.01,0.996191,-72.01,0.996158,-72.01,0.996064,-72.01,0.995731,-72.01,0.994752,-72.01,0.990659,-72.01,0.500551,-72.01,0.204615,-72.01,0.159029,-72.01,0.15474,-72.01,0.153126,-72.01,0.147479,-72.01,0.131346
-70.01,0.994666,-70.01,0.994666,-70.01,0.994665,-70.01,0.994664,-70.01,0.994661,-70.01,0.994652,-70.01,0.994619,-70.01,0.994525,-70.01,0.994192,-70.01,0.993215,-70.01,0.989129,-70.01,0.499778,-70.01,0.204299,-70.01,0.158784,-70.01,0.1545,-70.01,0.15289,-70.01,0.147252,-70.01,0.131143
-68.01,0.99254,-68.01,0.992539,-68.01,0.992539,-68.01,0.992538,-68.01,0.992535,-68.01,0.992526,-68.01,0.992493,-68.01,0.992399,-68.01,0.992067,-68.01,0.991092,-68.01,0.987014,-68.01,0.49871,-68.01,0.203863,-68.01,0.158444,-68.01,0.15417,-68.01,0.152563,-68.01,0.146937,-68.01,0.130863
-66.01,0.989607,-66.01,0.989607,-66.01,0.989607,-66.01,0.989606,-66.01,0.989602,-66.01,0.989593,-66.01,0.98956,-66.01,0.989467,-66.01,0.989136,-66.01,0.988164,-66.01,0.984098,-66.01,0.497236,-66.01,0.20326,-66.01,0.157976,-66.01,0.153715,-66.01,0.152112,-66.01,0.146503,-66.01,0.130476
-64.01,0.98557,-64.01,0.985569,-64.01,0.985569,-64.01,0.985568,-64.01,0.985565,-64.01,0.985556,-64.01,0.985523,-64.01,0.98543,-64.01,0.985101,-64.01,0.984133,-64.01,0.980083,-64.01,0.495208,-64.01,0.202431,-64.01,0.157332,-64.01,0.153088,-64.01,0.151491,-64.01,0.145905,-64.01,0.129944
-62.01,0.980025,-62.01,0.980025,-62.01,0.980025,-62.01,0.980024,-62.01,0.980021,-62.01,0.980011,-62.01,0.979979,-62.01,0.979886,-62.01,0.979559,-62.01,0.978596,-62.01,0.97457,-62.01,0.492422,-62.01,0.201292,-62.01,0.156447,-62.01,0.152226,-62.01,0.150639,-62.01,0.145084,-62.01,0.129213
-60.01,0.972437,-60.01,0.972437,-60.01,0.972436,-60.01,0.972435,-60.01,0.972432,-60.01,0.972423,-60.01,0.972391,-60.01,0.972299,-60.01,0.971974,-60.01,0.971019,-60.01,0.967023,-60.01,0.488609,-60.01,0.199734,-60.01,0.155235,-60.01,0.151048,-60.01,0.149473,-60.01,0.143961,-60.01,0.128212
-58.01,0.962096,-58.01,0.962096,-58.01,0.962096,-58.01,0.962095,-58.01,0.962092,-58.01,0.962083,-58.01,0.962051,-58.01,0.96196,-58.01,0.961639,-58.01,0.960694,-58.01,0.956741,-58.01,0.483413,-58.01,0.19761,-58.01,0.153584,-58.01,0.149441,-58.01,0.147883,-58.01,0.14243,-58.01,0.126849
-56.01,0.948088,-56.01,0.948088,-56.01,0.948088,-56.01,0.948087,-56.01,0.948084,-56.01,0.948075,-56.01,0.948044,-56.01,0.947954,-56.01,0.947637,-56.01,0.946706,-56.01,0.942811,-56.01,0.476375,-56.01,0.194733,-56.01,0.151348,-56.01,0.147266,-56.01,0.14573,-56.01,0.140356,-56.01,0.125002
-54.01,0.929261,-54.01,0.92926,-54.01,0.92926,-54.01,0.929259,-54.01,0.929256,-54.01,0.929247,-54.01,0.929217,-54.01,0.929129,-54.01,0.928818,-54.01,0.927906,-54.01,0.924088,-54.01,0.466915,-54.01,0.190865,-54.01,0.148343,-54.01,0.144341,-54.01,0.142836,-54.01,0.137569,-54.01,0.12252
-52.01,0.904217,-52.01,0.904216,-52.01,0.904216,-52.01,0.904215,-52.01,0.904212,-52.01,0.904204,-52.01,0.904174,-52.01,0.904088,-52.01,0.903786,-52.01,0.902898,-52.01,0.899183,-52.01,0.454331,-52.01,0.185721,-52.01,0.144345,-52.01,0.140451,-52.01,0.138987,-52.01,0.133861,-52.01,0.119218
-50.01,0.871362,-50.01,0.871362,-50.01,0.871362,-50.01,0.871361,-50.01,0.871358,-50.01,0.87135,-50.01,0.871321,-50.01,0.871239,-50.01,0.870948,-50.01,0.870092,-50.01,0.866511,-50.01,0.437823,-50.01,0.178973,-50.01,0.1391,-50.01,0.135348,-50.01,0.133937,-50.01,0.128998,-50.01,0.114886
-48.01,0.829042,-48.01,0.829042,-48.01,0.829041,-48.01,0.829041,-48.01,0.829038,-48.01,0.82903,-48.01,0.829003,-48.01,0.828924,-48.01,0.828647,-48.01,0.827833,-48.01,0.824427,-48.01,0.416559,-48.01,0.170281,-48.01,0.132344,-48.01,0.128774,-48.01,0.127432,-48.01,0.122732,-48.01,0.109306
-46.01,0.775813,-46.01,0.775813,-46.01,0.775813,-46.01,0.775812,-46.01,0.77581,-46.01,0.775802,-46.01,0.775777,-46.01,0.775703,-46.01,0.775444,-46.01,0.774682,-46.01,0.771494,-46.01,0.389814,-46.01,0.159348,-46.01,0.123847,-46.01,0.120506,-46.01,0.11925,-46.01,0.114852,-46.01,0.102288
-44.01,0.710891,-44.01,0.710891,-44.01,0.710891,-44.01,0.71089,-44.01,0.710888,-44.01,0.710881,-44.01,0.710858,-44.01,0.71079,-44.01,0.710553,-44.01,0.709855,-44.01,0.706934,-44.01,0.357193,-44.01,0.146013,-44.01,0.113483,-44.01,0.110422,-44.01,0.109271,-44.01,0.105241,-44.01,0.0937285
-42.01,0.634722,-42.01,0.634722,-42.01,0.634721,-42.01,0.634721,-42.01,0.634719,-42.01,0.634713,-42.01,0.634692,-42.01,0.634632,-42.01,0.63442,-42.01,0.633796,-42.01,0.631188,-42.01,0.318921,-42.01,0.130369,-42.01,0.101324,-42.01,0.0985907,-42.01,0.0975627,-42.01,0.093965,-42.01,0.0836858
-40.01,0.549524,-40.01,0.549524,-40.01,0.549524,-40.01,0.549523,-40.01,0.549522,-40.01,0.549516,-40.01,0.549498,-40.01,0.549446,-40.01,0.549263,-40.01,0.548723,-40.01,0.546465,-40.01,0.276113,-40.01,0.112869,-40.01,0.0877234,-40.01,0.085357,-40.01,0.084467,-40.01,0.0813522,-40.01,0.0724528
-38.01,0.45949,-38.01,0.45949,-38.01,0.45949,-38.01,0.459489,-38.01,0.459488,-38.01,0.459484,-38.01,0.459468,-38.01,0.459425,-38.01,0.459271,-38.01,0.45882,-38.01,0.456932,-38.01,0.230875,-38.01,0.0943769,-38.01,0.0733508,-38.01,0.0713722,-38.01,0.070628,-38.01,0.0680235,-38.01,0.0605821
-36.01,0.370303,-36.01,0.370303,-36.01,0.370302,-36.01,0.370302,-36.01,0.370301,-36.01,0.370297,-36.01,0.370285,-36.01,0.37025,-36.01,0.370126,-36.01,0.369763,-36.01,0.368241,-36.01,0.186062,-36.01,0.0760583,-36.01,0.0591133,-36.01,0.0575187,-36.01,0.056919,-36.01,0.0548201,-36.01,0.0488231
-34.01,0.2879,-34.01,0.2879,-34.01,0.2879,-34.01,0.2879,-34.01,0.287899,-34.01,0.287896,-34.01,0.287886,-34.01,0.287859,-34.01,0.287763,-34.01,0.28748,-34.01,0.286297,-34.01,0.144658,-34.01,0.0591332,-34.01,0.045959,-34.01,0.0447192,-34.01,0.044253,-34.01,0.0426211,-34.01,0.0379586
-32.01,0.216927,-32.01,0.216927,-32.01,0.216927,-32.01,0.216927,-32.01,0.216926,-32.01,0.216924,-32.01,0.216917,-32.01,0.216896,-32.01,0.216824,-32.01,0.216611,-32.01,0.215719,-32.01,0.108997,-32.01,0.0445557,-32.01,0.0346292,-32.01,0.033695,-32.01,0.0333437,-32.01,0.0321141,-32.01,0.028601
-30.01,0.159655,-30.01,0.159655,-30.01,0.159655,-30.01,0.159655,-30.01,0.159654,-30.01,0.159653,-30.01,0.159647,-30.01,0.159632,-30.01,0.159579,-30.01,0.159422,-30.01,0.158766,-30.01,0.0802199,-30.01,0.0327923,-30.01,0.0254865,-30.01,0.024799,-30.01,0.0245405,-30.01,0.0236355,-30.01,0.0210499
-28.01,0.11591,-28.01,0.11591,-28.01,0.11591,-28.01,0.11591,-28.01,0.115909,-28.01,0.115908,-28.01,0.115904,-28.01,0.115894,-28.01,0.115855,-28.01,0.115741,-28.01,0.115265,-28.01,0.0582399,-28.01,0.0238073,-28.01,0.0185033,-28.01,0.0180042,-28.01,0.0178165,-28.01,0.0171595,-28.01,0.0152823
-26.01,0.0838511,-26.01,0.0838511,-26.01,0.083851,-26.01,0.083851,-26.01,0.0838507,-26.01,0.0838499,-26.01,0.0838471,-26.01,0.0838392,-26.01,0.0838112,-26.01,0.0837288,-26.01,0.0833843,-26.01,0.0421317,-26.01,0.0172226,-26.01,0.0133856,-26.01,0.0130245,-26.01,0.0128887,-26.01,0.0124134,-26.01,0.0110555
-24.01,0.0609871,-24.01,0.0609871,-24.01,0.0609871,-24.01,0.060987,-24.01,0.0609868,-24.01,0.0609863,-24.01,0.0609843,-24.01,0.0609785,-24.01,0.0609581,-24.01,0.0608982,-24.01,0.0606476,-24.01,0.0306435,-24.01,0.0125264,-24.01,0.0097357,-24.01,0.00947307,-24.01,0.0093743,-24.01,0.00902861,-24.01,0.00804094
