Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.876144,-90.01,0.876177,-90.01,0.876292,-90.01,0.876619,-90.01,0.877748,-90.01,0.880892,-90.01,0.890938,-90.01,0.913314,-90.01,0.954484,-90.01,0.988692,-90.01,1,-90.01,0.976996,-90.01,0.893082,-90.01,0.754676,-90.01,0.60004,-90.01,0.514146,-90.01,0.462142,-90.01,0.406183
-88.01,0.857824,-88.01,0.857856,-88.01,0.857966,-88.01,0.858287,-88.01,0.859387,-88.01,0.862446,-88.01,0.872229,-88.01,0.894031,-88.01,0.934133,-88.01,0.96748,-88.01,0.978615,-88.01,0.956563,-88.01,0.875488,-88.01,0.74141,-88.01,0.590991,-88.01,0.507107,-88.01,0.456109,-88.01,0.400964
-86.01,0.836736,-86.01,0.836767,-86.01,0.836874,-86.01,0.837182,-86.01,0.838248,-86.01,0.841215,-86.01,0.850695,-86.01,0.87183,-86.01,0.910711,-86.01,0.943058,-86.01,0.95397,-86.01,0.932905,-86.01,0.855051,-86.01,0.725864,-86.01,0.580267,-86.01,0.49871,-86.01,0.448893,-86.01,0.394717
-84.01,0.812855,-84.01,0.812887,-84.01,0.812991,-84.01,0.813287,-84.01,0.814315,-84.01,0.817173,-84.01,0.826316,-84.01,0.84669,-84.01,0.884185,-84.01,0.915396,-84.01,0.926033,-84.01,0.906029,-84.01,0.831695,-84.01,0.707911,-84.01,0.567726,-84.01,0.48882,-84.01,0.440363,-84.01,0.387324
-82.01,0.786288,-82.01,0.786317,-82.01,0.786416,-82.01,0.786701,-82.01,0.787685,-82.01,0.790427,-82.01,0.79919,-82.01,0.818717,-82.01,0.854671,-82.01,0.884615,-82.01,0.894917,-82.01,0.876025,-82.01,0.80545,-82.01,0.68751,-82.01,0.553276,-82.01,0.477333,-82.01,0.430415,-82.01,0.378692
-80.01,0.757266,-80.01,0.757293,-80.01,0.757389,-80.01,0.75766,-80.01,0.758599,-80.01,0.76121,-80.01,0.769556,-80.01,0.788164,-80.01,0.822428,-80.01,0.850979,-80.01,0.860884,-80.01,0.843133,-80.01,0.776483,-80.01,0.66472,-80.01,0.536889,-80.01,0.464192,-80.01,0.418991,-80.01,0.368765
-78.01,0.72615,-78.01,0.726176,-78.01,0.726265,-78.01,0.726523,-78.01,0.727411,-78.01,0.729881,-78.01,0.737787,-78.01,0.755404,-78.01,0.78785,-78.01,0.814903,-78.01,0.824351,-78.01,0.807737,-78.01,0.745093,-78.01,0.639717,-78.01,0.518627,-78.01,0.449406,-78.01,0.406082,-78.01,0.357531
-76.01,0.693396,-76.01,0.69342,-76.01,0.693504,-76.01,0.693746,-76.01,0.694582,-76.01,0.696904,-76.01,0.704344,-76.01,0.720925,-76.01,0.751456,-76.01,0.776922,-76.01,0.785854,-76.01,0.770348,-76.01,0.711704,-76.01,0.612788,-76.01,0.498638,-76.01,0.433062,-76.01,0.391744,-76.01,0.345034
-74.01,0.659545,-74.01,0.659568,-74.01,0.659647,-74.01,0.659872,-74.01,0.660655,-74.01,0.662831,-74.01,0.669779,-74.01,0.685284,-74.01,0.71384,-74.01,0.737654,-74.01,0.746013,-74.01,0.731562,-74.01,0.676834,-74.01,0.584313,-74.01,0.477155,-74.01,0.415325,-74.01,0.376104,-74.01,0.331384
-72.01,0.625162,-72.01,0.625183,-72.01,0.625257,-72.01,0.625468,-72.01,0.626199,-72.01,0.628215,-72.01,0.634674,-72.01,0.649081,-72.01,0.675622,-72.01,0.697749,-72.01,0.705493,-72.01,0.692031,-72.01,0.641054,-72.01,0.554744,-72.01,0.454486,-72.01,0.396415,-72.01,0.359351,-72.01,0.316737
-70.01,0.590799,-70.01,0.590819,-70.01,0.590887,-70.01,0.59108,-70.01,0.591752,-70.01,0.593618,-70.01,0.599583,-70.01,0.612905,-70.01,0.637418,-70.01,0.657846,-70.01,0.664949,-70.01,0.652387,-70.01,0.604947,-70.01,0.524562,-70.01,0.430987,-70.01,0.376621,-70.01,0.341729,-70.01,0.301308
-68.01,0.556976,-68.01,0.556994,-68.01,0.557056,-68.01,0.557234,-68.01,0.557851,-68.01,0.559559,-68.01,0.565047,-68.01,0.57728,-68.01,0.599806,-68.01,0.618543,-68.01,0.624982,-68.01,0.61323,-68.01,0.569074,-68.01,0.494247,-68.01,0.407037,-68.01,0.356253,-68.01,0.323511,-68.01,0.285337
-66.01,0.52413,-66.01,0.524146,-66.01,0.524204,-66.01,0.524367,-66.01,0.52493,-66.01,0.526495,-66.01,0.531503,-66.01,0.542687,-66.01,0.563262,-66.01,0.580353,-66.01,0.586113,-66.01,0.575079,-66.01,0.533936,-66.01,0.464255,-66.01,0.383009,-66.01,0.335637,-66.01,0.30499,-66.01,0.269074
-64.01,0.492621,-64.01,0.492637,-64.01,0.49269,-64.01,0.492837,-64.01,0.493349,-64.01,0.494772,-64.01,0.499327,-64.01,0.509488,-64.01,0.528191,-64.01,0.543682,-64.01,0.548762,-64.01,0.538361,-64.01,0.49995,-64.01,0.434976,-64.01,0.359251,-64.01,0.315081,-64.01,0.286443,-64.01,0.252767
-62.01,0.462713,-62.01,0.462726,-62.01,0.462773,-62.01,0.462906,-62.01,0.46337,-62.01,0.464656,-62.01,0.468778,-62.01,0.477966,-62.01,0.49488,-62.01,0.50883,-62.01,0.513242,-62.01,0.503384,-62.01,0.467435,-62.01,0.406726,-62.01,0.336057,-62.01,0.29486,-62.01,0.268129,-62.01,0.236642
-60.01,0.434555,-60.01,0.434567,-60.01,0.434608,-60.01,0.434729,-60.01,0.435148,-60.01,0.436304,-60.01,0.440009,-60.01,0.448281,-60.01,0.463477,-60.01,0.475988,-60.01,0.479752,-60.01,0.470358,-60.01,0.436609,-60.01,0.379747,-60.01,0.313667,-60.01,0.275203,-60.01,0.250266,-60.01,0.220897
-58.01,0.408204,-58.01,0.408215,-58.01,0.408253,-58.01,0.40836,-58.01,0.408732,-58.01,0.409769,-58.01,0.413085,-58.01,0.42049,-58.01,0.434088,-58.01,0.44522,-58.01,0.448359,-58.01,0.439371,-58.01,0.407599,-58.01,0.354198,-58.01,0.292265,-58.01,0.256295,-58.01,0.233027,-58.01,0.205688
-56.01,0.383598,-56.01,0.383607,-56.01,0.383641,-56.01,0.383736,-56.01,0.384068,-56.01,0.384992,-56.01,0.387944,-56.01,0.394532,-56.01,0.406636,-56.01,0.416474,-56.01,0.419018,-56.01,0.410395,-56.01,0.380419,-56.01,0.330144,-56.01,0.271965,-56.01,0.23826,-56.01,0.216539,-56.01,0.191128
-54.01,0.360546,-54.01,0.360555,-54.01,0.360584,-54.01,0.360669,-54.01,0.360963,-54.01,0.36178,-54.01,0.364394,-54.01,0.370228,-54.01,0.380921,-54.01,0.389552,-54.01,0.391547,-54.01,0.383273,-54.01,0.354986,-54.01,0.307591,-54.01,0.252819,-54.01,0.221175,-54.01,0.20088,-54.01,0.177291
-52.01,0.338682,-52.01,0.338691,-52.01,0.338716,-52.01,0.338789,-52.01,0.339048,-52.01,0.339766,-52.01,0.342064,-52.01,0.347191,-52.01,0.356575,-52.01,0.364086,-52.01,0.365578,-52.01,0.357682,-52.01,0.331086,-52.01,0.286446,-52.01,0.234823,-52.01,0.205068,-52.01,0.186093,-52.01,0.164215
-50.01,0.317369,-50.01,0.317375,-50.01,0.317398,-50.01,0.317463,-50.01,0.317688,-50.01,0.318315,-50.01,0.320317,-50.01,0.324786,-50.01,0.332943,-50.01,0.3394,-50.01,0.340465,-50.01,0.333056,-50.01,0.308331,-50.01,0.266529,-50.01,0.217928,-50.01,0.189923,-50.01,0.172172,-50.01,0.151904
-48.01,0.295582,-48.01,0.295588,-48.01,0.295608,-48.01,0.295664,-48.01,0.295858,-48.01,0.296397,-48.01,0.298125,-48.01,0.301973,-48.01,0.308977,-48.01,0.314449,-48.01,0.315173,-48.01,0.308459,-48.01,0.286094,-48.01,0.24753,-48.01,0.20201,-48.01,0.175683,-48.01,0.159085,-48.01,0.140327
-46.01,0.271922,-46.01,0.271927,-46.01,0.271943,-46.01,0.271991,-46.01,0.272156,-46.01,0.272616,-46.01,0.274084,-46.01,0.27735,-46.01,0.283262,-46.01,0.287812,-46.01,0.288308,-46.01,0.282599,-46.01,0.263393,-46.01,0.228961,-46.01,0.186894,-46.01,0.162252,-46.01,0.146761,-46.01,0.129434
-44.01,0.245393,-44.01,0.245397,-44.01,0.245411,-44.01,0.245451,-44.01,0.245589,-44.01,0.245973,-44.01,0.247202,-44.01,0.249933,-44.01,0.254863,-44.01,0.258621,-44.01,0.259046,-44.01,0.254549,-44.01,0.239176,-44.01,0.210107,-44.01,0.172299,-44.01,0.149484,-44.01,0.135098,-44.01,0.119134
