Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.999999,-90.01,0.999997,-90.01,0.999991,-90.01,0.999975,-90.01,0.999916,-90.01,0.99975,-90.01,0.999167,-90.01,0.997504,-90.01,0.99173,-90.01,0.975595,-90.01,0.92303,-90.01,0.79988,-90.01,0.545181,-90.01,0.285285,-90.01,0.106607,-90.01,0.0378842,-90.01,0.0112644,-90.01,0.00338601
-88.01,0.999999,-88.01,0.999998,-88.01,0.999992,-88.01,0.999975,-88.01,0.999917,-88.01,0.99975,-88.01,0.999167,-88.01,0.997505,-88.01,0.991731,-88.01,0.975595,-88.01,0.923031,-88.01,0.79988,-88.01,0.545182,-88.01,0.285285,-88.01,0.106607,-88.01,0.0378842,-88.01,0.0112644,-88.01,0.00338601
-86.01,1,-86.01,0.999998,-86.01,0.999992,-86.01,0.999976,-86.01,0.999917,-86.01,0.999751,-86.01,0.999168,-86.01,0.997506,-86.01,0.991731,-86.01,0.975596,-86.01,0.923032,-86.01,0.799881,-86.01,0.545182,-86.01,0.285286,-86.01,0.106607,-86.01,0.0378842,-86.01,0.0112644,-86.01,0.00338601
-84.01,1,-84.01,0.999998,-84.01,0.999992,-84.01,0.999976,-84.01,0.999917,-84.01,0.999751,-84.01,0.999168,-84.01,0.997506,-84.01,0.991731,-84.01,0.975596,-84.01,0.923031,-84.01,0.799881,-84.01,0.545182,-84.01,0.285286,-84.01,0.106607,-84.01,0.0378842,-84.01,0.0112644,-84.01,0.00338601
-82.01,0.999999,-82.01,0.999997,-82.01,0.999991,-82.01,0.999975,-82.01,0.999916,-82.01,0.99975,-82.01,0.999166,-82.01,0.997504,-82.01,0.99173,-82.01,0.975595,-82.01,0.92303,-82.01,0.79988,-82.01,0.545181,-82.01,0.285285,-82.01,0.106607,-82.01,0.0378842,-82.01,0.0112644,-82.01,0.00338601
-80.01,0.999995,-80.01,0.999993,-80.01,0.999988,-80.01,0.999971,-80.01,0.999913,-80.01,0.999746,-80.01,0.999163,-80.01,0.997501,-80.01,0.991727,-80.01,0.975591,-80.01,0.923027,-80.01,0.799877,-80.01,0.545179,-80.01,0.285284,-80.01,0.106606,-80.01,0.037884,-80.01,0.0112643,-80.01,0.00338599
-78.01,0.999987,-78.01,0.999985,-78.01,0.999979,-78.01,0.999963,-78.01,0.999904,-78.01,0.999738,-78.01,0.999154,-78.01,0.997492,-78.01,0.991718,-78.01,0.975583,-78.01,0.923019,-78.01,0.79987,-78.01,0.545175,-78.01,0.285282,-78.01,0.106605,-78.01,0.0378837,-78.01,0.0112642,-78.01,0.00338596
-76.01,0.99997,-76.01,0.999968,-76.01,0.999962,-76.01,0.999945,-76.01,0.999887,-76.01,0.99972,-76.01,0.999137,-76.01,0.997475,-76.01,0.991701,-76.01,0.975566,-76.01,0.923003,-76.01,0.799856,-76.01,0.545165,-76.01,0.285277,-76.01,0.106604,-76.01,0.0378831,-76.01,0.011264,-76.01,0.00338591
-74.01,0.999936,-74.01,0.999934,-74.01,0.999928,-74.01,0.999912,-74.01,0.999853,-74.01,0.999687,-74.01,0.999104,-74.01,0.997442,-74.01,0.991668,-74.01,0.975533,-74.01,0.922972,-74.01,0.799829,-74.01,0.545147,-74.01,0.285267,-74.01,0.1066,-74.01,0.0378818,-74.01,0.0112637,-74.01,0.00338579
-72.01,0.999872,-72.01,0.999871,-72.01,0.999865,-72.01,0.999848,-72.01,0.99979,-72.01,0.999623,-72.01,0.99904,-72.01,0.997378,-72.01,0.991605,-72.01,0.975471,-72.01,0.922914,-72.01,0.799778,-72.01,0.545112,-72.01,0.285249,-72.01,0.106593,-72.01,0.0378794,-72.01,0.0112629,-72.01,0.00338558
