Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.999927,-90.01,0.999747,-90.01,0.999381,-90.01,0.99848,-90.01,0.996654,-90.01,0.99218,-90.01,0.983208,-90.01,0.96176,-90.01,0.920914,-90.01,0.833593,-90.01,0.698787,-90.01,0.499298,-90.01,0.315315,-90.01,0.163907,-90.01,0.0809245,-90.01,0.0326705,-90.01,0.0101421
-88.01,0.999566,-88.01,0.999493,-88.01,0.999313,-88.01,0.998948,-88.01,0.998047,-88.01,0.996222,-88.01,0.99175,-88.01,0.982781,-88.01,0.961343,-88.01,0.920515,-88.01,0.833231,-88.01,0.698484,-88.01,0.499081,-88.01,0.315178,-88.01,0.163836,-88.01,0.0808894,-88.01,0.0326563,-88.01,0.0101377
-86.01,0.99902,-86.01,0.998947,-86.01,0.998767,-86.01,0.998401,-86.01,0.997502,-86.01,0.995677,-86.01,0.991208,-86.01,0.982244,-86.01,0.960817,-86.01,0.920011,-86.01,0.832776,-86.01,0.698102,-86.01,0.498808,-86.01,0.315006,-86.01,0.163746,-86.01,0.0808452,-86.01,0.0326385,-86.01,0.0101321
-84.01,0.998331,-84.01,0.998258,-84.01,0.998078,-84.01,0.997713,-84.01,0.996814,-84.01,0.994991,-84.01,0.990524,-84.01,0.981566,-84.01,0.960155,-84.01,0.919377,-84.01,0.832201,-84.01,0.69762,-84.01,0.498464,-84.01,0.314789,-84.01,0.163633,-84.01,0.0807894,-84.01,0.032616,-84.01,0.0101251
-82.01,0.997463,-82.01,0.99739,-82.01,0.99721,-82.01,0.996846,-82.01,0.995947,-82.01,0.994126,-82.01,0.989663,-82.01,0.980713,-82.01,0.95932,-82.01,0.918578,-82.01,0.831478,-82.01,0.697014,-82.01,0.498031,-82.01,0.314515,-82.01,0.163491,-82.01,0.0807192,-82.01,0.0325876,-82.01,0.0101163
-80.01,0.99637,-80.01,0.996297,-80.01,0.996118,-80.01,0.995753,-80.01,0.994856,-80.01,0.993036,-80.01,0.988579,-80.01,0.979638,-80.01,0.958269,-80.01,0.917571,-80.01,0.830567,-80.01,0.69625,-80.01,0.497485,-80.01,0.31417,-80.01,0.163312,-80.01,0.0806307,-80.01,0.0325519,-80.01,0.0101052
-78.01,0.994994,-78.01,0.994921,-78.01,0.994742,-78.01,0.994378,-78.01,0.993482,-78.01,0.991665,-78.01,0.987214,-78.01,0.978286,-78.01,0.956946,-78.01,0.916304,-78.01,0.82942,-78.01,0.695289,-78.01,0.496798,-78.01,0.313737,-78.01,0.163087,-78.01,0.0805194,-78.01,0.032507,-78.01,0.0100913
-76.01,0.993264,-76.01,0.993191,-76.01,0.993012,-76.01,0.992649,-76.01,0.991754,-76.01,0.989941,-76.01,0.985497,-76.01,0.976584,-76.01,0.955281,-76.01,0.91471,-76.01,0.827977,-76.01,0.69408,-76.01,0.495934,-76.01,0.313191,-76.01,0.162803,-76.01,0.0803794,-76.01,0.0324504,-76.01,0.0100737
-74.01,0.991089,-74.01,0.991016,-74.01,0.990838,-74.01,0.990475,-74.01,0.989583,-74.01,0.987773,-74.01,0.983339,-74.01,0.974446,-74.01,0.95319,-74.01,0.912708,-74.01,0.826164,-74.01,0.69256,-74.01,0.494848,-74.01,0.312505,-74.01,0.162446,-74.01,0.0802034,-74.01,0.0323794,-74.01,0.0100517
-72.01,0.988358,-72.01,0.988286,-72.01,0.988108,-72.01,0.987747,-72.01,0.986856,-72.01,0.985052,-72.01,0.98063,-72.01,0.971761,-72.01,0.950563,-72.01,0.910193,-72.01,0.823888,-72.01,0.690652,-72.01,0.493485,-72.01,0.311644,-72.01,0.161999,-72.01,0.0799824,-72.01,0.0322902,-72.01,0.010024
