Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.999997,-90.01,0.999987,-90.01,0.999959,-90.01,0.999861,-90.01,0.999578,-90.01,0.998585,-90.01,0.995698,-90.01,0.98501,-90.01,0.949151,-90.01,0.760133,-90.01,0.329709,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564
-88.01,0.999963,-88.01,0.99996,-88.01,0.999951,-88.01,0.999922,-88.01,0.999824,-88.01,0.999542,-88.01,0.998548,-88.01,0.995661,-88.01,0.984974,-88.01,0.949116,-88.01,0.760105,-88.01,0.329697,-88.01,0.291553,-88.01,0.291553,-88.01,0.291553,-88.01,0.291553,-88.01,0.291553,-88.01,0.291553
-86.01,0.999913,-86.01,0.99991,-86.01,0.9999,-86.01,0.999872,-86.01,0.999773,-86.01,0.999491,-86.01,0.998498,-86.01,0.995611,-86.01,0.984924,-86.01,0.949068,-86.01,0.760067,-86.01,0.32968,-86.01,0.291539,-86.01,0.291538,-86.01,0.291538,-86.01,0.291538,-86.01,0.291538,-86.01,0.291538
-84.01,0.999843,-84.01,0.99984,-84.01,0.99983,-84.01,0.999802,-84.01,0.999704,-84.01,0.999421,-84.01,0.998428,-84.01,0.995542,-84.01,0.984855,-84.01,0.949002,-84.01,0.760014,-84.01,0.329657,-84.01,0.291518,-84.01,0.291518,-84.01,0.291518,-84.01,0.291518,-84.01,0.291518,-84.01,0.291518
-82.01,0.999747,-82.01,0.999744,-82.01,0.999734,-82.01,0.999706,-82.01,0.999608,-82.01,0.999325,-82.01,0.998332,-82.01,0.995446,-82.01,0.984761,-82.01,0.94891,-82.01,0.759941,-82.01,0.329626,-82.01,0.29149,-82.01,0.29149,-82.01,0.29149,-82.01,0.29149,-82.01,0.29149,-82.01,0.29149
-80.01,0.999615,-80.01,0.999612,-80.01,0.999602,-80.01,0.999574,-80.01,0.999476,-80.01,0.999194,-80.01,0.998201,-80.01,0.995315,-80.01,0.984631,-80.01,0.948785,-80.01,0.759841,-80.01,0.329582,-80.01,0.291452,-80.01,0.291452,-80.01,0.291452,-80.01,0.291452,-80.01,0.291452,-80.01,0.291452
-78.01,0.999433,-78.01,0.99943,-78.01,0.99942,-78.01,0.999392,-78.01,0.999294,-78.01,0.999012,-78.01,0.998019,-78.01,0.995133,-78.01,0.984452,-78.01,0.948612,-78.01,0.759702,-78.01,0.329522,-78.01,0.291399,-78.01,0.291399,-78.01,0.291399,-78.01,0.291399,-78.01,0.291399,-78.01,0.291399
-76.01,0.999182,-76.01,0.999179,-76.01,0.999169,-76.01,0.999141,-76.01,0.999043,-76.01,0.998761,-76.01,0.997768,-76.01,0.994883,-76.01,0.984204,-76.01,0.948374,-76.01,0.759511,-76.01,0.329439,-76.01,0.291326,-76.01,0.291325,-76.01,0.291325,-76.01,0.291325,-76.01,0.291325,-76.01,0.291325
-74.01,0.998835,-74.01,0.998833,-74.01,0.998823,-74.01,0.998795,-74.01,0.998696,-74.01,0.998414,-74.01,0.997422,-74.01,0.994538,-74.01,0.983863,-74.01,0.948045,-74.01,0.759248,-74.01,0.329325,-74.01,0.291225,-74.01,0.291224,-74.01,0.291224,-74.01,0.291224,-74.01,0.291224,-74.01,0.291224
-72.01,0.998357,-72.01,0.998354,-72.01,0.998344,-72.01,0.998316,-72.01,0.998218,-72.01,0.997936,-72.01,0.996944,-72.01,0.994062,-72.01,0.983392,-72.01,0.947591,-72.01,0.758884,-72.01,0.329167,-72.01,0.291085,-72.01,0.291085,-72.01,0.291085,-72.01,0.291085,-72.01,0.291085,-72.01,0.291085
